Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
RDC_1_EB2	RDC_1_EB2	3	2	PE	ExtBlank	double	none	../demultiplex/delivery06069/0_demux_220705/S1/L003/RDC_1_EB2_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S1/L003/RDC_1_EB2_L003_R.fastq.gz	NA
RDC_2_EB3	RDC_2_EB3	3	2	PE	ExtBlank	double	none	../demultiplex/delivery06069/0_demux_220705/S2/L003/RDC_2_EB3_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S2/L003/RDC_2_EB3_L003_R.fastq.gz	NA
RDC_3_EB5	RDC_3_EB5	3	2	PE	ExtBlank	double	none	../demultiplex/delivery06069/0_demux_220705/S5/L003/RDC_3_EB5_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S5/L003/RDC_3_EB5_L003_R.fastq.gz	NA
RDC_3_EB6	RDC_3_EB6	3	2	PE	ExtBlank	double	none	../demultiplex/delivery06069/0_demux_220705/S7/L003/RDC_3_EB6_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S7/L003/RDC_3_EB6_L003_R.fastq.gz	NA
RDC_4_EB7	RDC_4_EB7	3	2	PE	ExtBlank	double	none	../demultiplex/delivery06069/0_demux_220705/S8/L003/RDC_4_EB7_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S8/L003/RDC_4_EB7_L003_R.fastq.gz	NA
RDC_4_EB8	RDC_4_EB8	3	2	PE	ExtBlank	double	none	../demultiplex/delivery06069/0_demux_220705/S4/L003/RDC_4_EB8_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S4/L003/RDC_4_EB8_L003_R.fastq.gz	NA
RDC_5_EB9	RDC_5_EB9	3	2	PE	ExtBlank	double	none	../demultiplex/delivery06069/0_demux_220705/S1/L003/RDC_5_EB9_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S1/L003/RDC_5_EB9_L003_R.fastq.gz	NA
RDC_5_EB10	RDC_5_EB10	3	2	PE	ExtBlank	double	none	../demultiplex/delivery06069/0_demux_220705/S6/L003/RDC_5_EB10_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S6/L003/RDC_5_EB10_L003_R.fastq.gz	NA
RDC_6_EB11	RDC_6_EB11	3	2	PE	ExtBlank	double	none	../demultiplex/delivery06069/0_demux_220705/S7/L003/RDC_6_EB11_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S7/L003/RDC_6_EB11_L003_R.fastq.gz	NA
RDC_6_EB12	RDC_6_EB12	3	2	PE	ExtBlank	double	none	../demultiplex/delivery06069/0_demux_220705/S9/L003/RDC_6_EB12_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S9/L003/RDC_6_EB12_L003_R.fastq.gz	NA
RDC_1_H1	RDC_1_H1	3	2	PE	Human	double	none	../demultiplex/delivery06069/0_demux_220705/S1/L003/RDC_1_H1_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S1/L003/RDC_1_H1_L003_R.fastq.gz	NA
RDC_1_H2	RDC_1_H2	3	2	PE	Human	double	none	../demultiplex/delivery06069/0_demux_220705/S1/L003/RDC_1_H2_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S1/L003/RDC_1_H2_L003_R.fastq.gz	NA
RDC_2_H3	RDC_2_H3	3	2	PE	Human	double	none	../demultiplex/delivery06069/0_demux_220705/S2/L003/RDC_2_H3_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S2/L003/RDC_2_H3_L003_R.fastq.gz	NA
RDC_2_H4	RDC_2_H4	3	2	PE	Human	double	none	../demultiplex/delivery06069/0_demux_220705/S2/L003/RDC_2_H4_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S2/L003/RDC_2_H4_L003_R.fastq.gz	NA
RDC_2_H5	RDC_2_H5	3	2	PE	Human	double	none	../demultiplex/delivery06069/0_demux_220705/S2/L003/RDC_2_H5_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S2/L003/RDC_2_H5_L003_R.fastq.gz	NA
RDC_2_H6	RDC_2_H6	3	2	PE	Human	double	none	../demultiplex/delivery06069/0_demux_220705/S2/L003/RDC_2_H6_L003_F.fastq.gz	../demultiplex/delivery06069/0_demux_220705/S2/L003/RDC_2_H6_L003_R.fastq.gz	NA
