HOMD.org Taxon Data::Site/Status Filter applied Date: 2022-08-12
HMT_ID	Domain	Phylum	Class	Order	Family	Genus	Species	Status	Body_site	Warning	Type_strain	16S_rRNA	Clone_count	Clone_%	Clone_rank	Synonyms	NCBI_taxon_id	NCBI_pubmed_count	NCBI_nucleotide_count	NCBI_protein_count	Genome_ID	General_info	Cultivability	Phenotypic_characteristics	Prevalence	Disease	References
001	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	schoenbuchensis	Named	Unassigned	0		NR_025410				Strain TFI A28SC	165694	9	93	5894	SEQF2664						
002	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	sp._HMT_002	Phylotype	Unassigned	0		DQ493433				Oral Clone AW149	712237	0	2	0							
003	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	glacialis	Named	Unassigned	0	ATCC 14820	AF385529				Oral Clone AV069	59803	0	2	0	SEQF3079						
004	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	sp._HMT_004	Phylotype	Unassigned	0		AF385533				Oral Clone AW030	712605	0	1	0							
005	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	lwoffii	Named	Unassigned	0							28090	0	0	0	SEQF2884						
006	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	humi	Phylotype	Unassigned	0		AY349411				Oral Clone FI012	712606	0	1	0							
007	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	tepidarius	Named	Unassigned	0	DSM 10594	AJ223452				Oral Clone BF019	60454	0	2	0	SEQF3080						
008	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Mogibacterium	vescum	Named	Unassigned	0		AB021702					86333	1	13	0							
010	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	radioresistens	Named	Unassigned	0							40216	0	0	0	SEQF2864						
011	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	sp._HMT_011	Lost	Oral	0		L06165				Oral Strain UB-204	712272	0	1	0							
