genus,source,tax_id
Actinomyces,Weyrich,1654
N09,Weyrich,NA
Corynebacterium,Weyrich,1716
Dermacoccus,Weyrich,57495
,Weyrich,NA
,Weyrich,NA
Micrococcus,Weyrich,1269
Sediminibacterium,Weyrich,504481
,Weyrich,NA
,Weyrich,NA
Chryseobacterium,Weyrich,59732
Cloacibacterium,Weyrich,501783
Wautersiella,Weyrich,343873
Fluviicola,Weyrich,332102
Flavobacterium,Weyrich,237
,Weyrich,NA
,Weyrich,NA
Pedobacter,Weyrich,84567
,Weyrich,NA
Thermicanus,Weyrich,94008
Bacillus,Weyrich,1386
Geobacillus,Weyrich,129337
Paenibacillus,Weyrich,44249
Staphylococcus,Weyrich,1279
,Weyrich,NA
Enterococcus,Weyrich,1350
Leuconostoc,Weyrich,1243
Lactococcus,Weyrich,1357
Streptococcus,Weyrich,1301
Clostridium,Weyrich,1485
,Weyrich,NA
,Weyrich,NA
,Weyrich,NA
Bradyrhizobium,Weyrich,374
Devosia,Weyrich,46913
Methylobacterium,Weyrich,407
Mesorhizobium,Weyrich,68287
,Weyrich,NA
Other,Weyrich,32644
,Weyrich,NA
Other,Weyrich,32644
,Weyrich,NA
Novosphingobium,Weyrich,165696
Sphingobium,Weyrich,165695
Sphingomonas,Weyrich,13687
,Weyrich,NA
Achromobacter,Weyrich,222
Burkholderia,Weyrich,32008
,Weyrich,NA
Comamonas,Weyrich,283
Limnohabitans,Weyrich,665874
Tepidimonas,Weyrich,114248
Other,Weyrich,32644
Cupriavidus,Weyrich,106589
Ralstonia,Weyrich,48736
Other,Weyrich,32644
,Weyrich,NA
,Weyrich,NA
,Weyrich,NA
,Weyrich,NA
Other,Weyrich,32644
Acinetobacter,Weyrich,469
Enhydrobacter,Weyrich,212791
,Weyrich,NA
Pseudomonas,Weyrich,286
Other,Weyrich,32644
,Weyrich,NA
Lysobacter,Weyrich,68
Stenotrophomonas,Weyrich,40323
Afipia,Salter,1033
Aquabacterium,Salter,92793
Asticcacaulis,Salter,76890
Aurantimonas,Salter,182269
Beijerinckia,Salter,532
Bosea,Salter,85413
Bradyrhizobium,Salter,374
Brevundimonas,Salter,41275
Caulobacter,Salter,75
Craurococcus,Salter,77583
Devosia,Salter,46913
Hoeflea,Salter,274591
Mesorhizobium,Salter,68287
Methylobacterium,Salter,407
Novosphingobium,Salter,165696
Ochrobactrum,Salter,528
Paracoccus,Salter,265
Pedomicrobium,Salter,47494
Phyllobacterium,Salter,28100
Rhizobiumc,Salter,NA
Roseomonas,Salter,125216
Sphingobium,Salter,165695
Sphingomonas,Salter,13687
Sphingopyxis,Salter,165697
Acidovorax,Salter,12916
Azoarcus,Salter,12960
Azospira,Salter,146937
Burkholderia,Salter,32008
Comamonas,Salter,283
Cupriavidus,Salter,106589
Curvibacter,Salter,281915
Delftia,Salter,80865
Duganella,Salter,75654
Herbaspirillum,Salter,963
Janthinobacterium,Salter,29580
Kingella,Salter,32257
Leptothrixa,Salter,NA
Limnobacter,Salter,131079
Massilia,Salter,149698
Methylophilus,Salter,16
Methyloversatilis,Salter,378210
Oxalobacter,Salter,846
Pelomonas,Salter,335058
Polaromonas,Salter,52972
Ralstonia,Salter,48736
Schlegelella,Salter,215579
Sulfuritalea,Salter,1054211
Undibacterium,Salter,401469
Variovorax,Salter,34072
Acinetobacter,Salter,469
Enhydrobacter,Salter,212791
Enterobacter,Salter,547
Escherichia,Salter,561
Nevskiae,Salter,NA
Pseudomonas,Salter,286
Pseudoxanthomonas,Salter,83618
Psychrobacter,Salter,497
Stenotrophomonas,Salter,40323
Xanthomonas,Salter,338
Aeromicrobium,Salter,2040
Arthrobacter,Salter,1663
Beutenbergia,Salter,84756
Brevibacterium,Salter,1696
Corynebacterium,Salter,1716
Curtobacterium,Salter,2034
Dietzia,Salter,37914
Geodermatophilus,Salter,1860
Janibacter,Salter,53457
Kocuria,Salter,57493
Microbacterium,Salter,33882
Micrococcus,Salter,1269
Microlunatus,Salter,29404
Patulibacter,Salter,361607
Propionibacterium,Salter,1743
Rhodococcus,Salter,1827
Tsukamurel,Salter,NA
Abiotrophia,Salter,46123
Bacillus,Salter,1386
Brevibacillus,Salter,55080
Brochothrix,Salter,2755
Facklamia,Salter,66831
Paenibacillus,Salter,44249
Streptococcus,Salter,1301
Chryseobacterium,Salter,59732
Dyadobacter,Salter,120831
Flavobacterium,Salter,237
Hydrotalea,Salter,1004300
Niastella,Salter,354354
Olivibacter,Salter,376469
Pedobacter,Salter,84567
Wautersiella,Salter,343873
Deinococcus,Salter,1298
