Sediment/Soil,Skin,aOral,mOral,Unknown,Running time (s),Sink,decOM_max,p_Sediment/Soil,p_Skin,p_aOral,p_mOral,p_Unknown
0,0,0,0,0,83.5936,RDC_1_EB2,TIE,,,,,
18898,45068,2568992,1109717,129498,87.667,RDC_1_H1,aOral,0.488,1.1639,66.345,28.6588,3.3443
62,154,7181,5586,319,9.4672,RDC_1_H2,aOral,0.4661,1.1577,53.9844,41.9937,2.3981
0,0,0,0,0,3.1668,RDC_1_LP_B2,TIE,,,,,
138697,1933,2451,2055,163619,32.4097,RDC_1_S1,Unknown,44.9214,0.6261,0.7938,0.6656,52.9931
118,4,1,2,175,5.1888,RDC_1_S2,Unknown,39.3333,1.3333,0.3333,0.6667,58.3333
0,0,0,0,0,3.079,RDC_2_EB3,TIE,,,,,
340123,15140,8774,7993,712926,111.7811,RDC_2_H10,Unknown,31.349,1.3954,0.8087,0.7367,65.7101
51907,50454,1151665,995815,132303,76.9206,RDC_2_H11,aOral,2.179,2.118,48.3457,41.8033,5.5539
14569,16034,3008566,1017474,77025,64.7113,RDC_2_H3,aOral,0.3524,0.3879,72.782,24.6143,1.8634
7866,7633,1200990,421768,23341,25.0101,RDC_2_H4,aOral,0.4734,0.4594,72.2792,25.3833,1.4047
16964,38021,3453896,1403318,128810,74.5703,RDC_2_H5,aOral,0.3365,0.7542,68.516,27.838,2.5552
11882,24225,1642121,718921,34067,31.5958,RDC_2_H6,aOral,0.4887,0.9964,67.5432,29.5704,1.4012
14340,45588,1249492,908801,58675,47.1168,RDC_2_H7,aOral,0.6298,2.0022,54.877,39.914,2.577
5361,9091,1185994,354238,22417,23.0591,RDC_2_H8,aOral,0.3399,0.5764,75.2009,22.4613,1.4214
18786,34914,2756537,1313860,141107,69.1948,RDC_2_H9,aOral,0.4404,0.8186,64.6285,30.8042,3.3083
0,2,183,131,11,3.2066,RDC_2_LP_B4,aOral,0.0,0.6116,55.9633,40.0612,3.3639
18942,301,180,165,25508,12.7423,RDC_2_S3,Unknown,42.0037,0.6675,0.3991,0.3659,56.5638
0,0,0,0,0,3.1061,RDC_3_EB5,TIE,,,,,
0,0,0,0,0,3.1336,RDC_3_EB6,TIE,,,,,
2641,4885,532593,260068,14271,15.9621,RDC_3_H12,aOral,0.3243,0.5998,65.3923,31.9314,1.7522
19096,27220,2724140,903988,112491,67.1818,RDC_3_H13,aOral,0.5043,0.7188,71.9352,23.8712,2.9705
5420,1189,144543,55429,7592,21.6451,RDC_3_H14,aOral,2.5307,0.5552,67.4889,25.8805,3.5448
11047,15081,2002731,605917,24287,41.4911,RDC_3_H15,aOral,0.4154,0.5672,75.3172,22.7869,0.9134
1253,1727,133303,47092,2224,23.2396,RDC_3_H16,aOral,0.6751,0.9305,71.8231,25.373,1.1983
7385,5859,2003005,438479,32837,35.1091,RDC_3_H17,aOral,0.2969,0.2355,80.5207,17.6268,1.32
1511,3225,30814,49137,6178,16.8051,RDC_3_H18,mOral,1.6629,3.5492,33.9118,54.0769,6.7991
4055,6076,1312588,346274,13050,25.1391,RDC_3_H19,aOral,0.2411,0.3612,78.0353,20.5865,0.7758
6761,4620,532459,190318,13094,28.4079,RDC_3_H20,aOral,0.9048,0.6183,71.2556,25.4691,1.7523
4359,129,3717,1902,11785,11.8895,RDC_3_H21,Unknown,19.9114,0.5893,16.9788,8.6881,53.8325
17,121,10402,3006,71,5.3222,RDC_3_H22,aOral,0.1248,0.8886,76.3898,22.0753,0.5214
9042,33617,594008,555047,19721,30.1591,RDC_3_H23,aOral,0.7464,2.775,49.0334,45.8173,1.6279
2896,19,332,10,9820,16.4372,RDC_3_H24,Unknown,22.1458,0.1453,2.5388,0.0765,75.0937
0,0,0,0,0,3.3406,RDC_3_LP_B6,TIE,,,,,
14565,229,91,43,16599,17.35,RDC_3_S4,Unknown,46.1985,0.7264,0.2886,0.1364,52.6501
0,0,12,0,9,3.3768,RDC_4_EB7,aOral,0.0,0.0,57.1429,0.0,42.8571
0,0,0,0,0,3.4287,RDC_4_EB8,TIE,,,,,
6538,9861,1167543,388467,21273,23.0265,RDC_4_H25,aOral,0.4102,0.6188,73.2607,24.3754,1.3348
21691,61939,3925502,1907524,247241,118.7624,RDC_4_H26,aOral,0.3519,1.0049,63.6854,30.9467,4.0111
7702,10470,1544024,436148,21436,29.6639,RDC_4_H27,aOral,0.3813,0.5184,76.4452,21.5938,1.0613
8918,14779,1328243,547870,31327,28.6418,RDC_4_H28,aOral,0.4618,0.7653,68.7804,28.3703,1.6222
6517,1608,147522,54681,6890,26.2481,RDC_4_H29,aOral,3.0002,0.7403,67.9143,25.1733,3.1719
1005,1761,56970,35956,3136,5.4453,RDC_4_H30,aOral,1.0169,1.7819,57.6456,36.3824,3.1732
2072,3276,336039,124538,3691,25.5022,RDC_4_H31,aOral,0.4412,0.6976,71.5561,26.5191,0.786
83,497,99405,27668,2137,9.8191,RDC_4_H32,aOral,0.0639,0.3829,76.5891,21.3175,1.6465
1335,991,169359,60440,1887,32.986,RDC_4_H33,aOral,0.5705,0.4235,72.3719,25.8277,0.8064
103,341,36356,15899,1659,12.6367,RDC_4_H34,aOral,0.1895,0.6273,66.8825,29.2487,3.052
0,54,23742,7415,326,9.2303,RDC_4_H35,aOral,0.0,0.1712,75.283,23.5121,1.0337
861,2460,160080,68624,4429,13.9728,RDC_4_H36,aOral,0.3641,1.0404,67.7003,29.0221,1.8731
1548,1619,186249,65331,3835,18.3158,RDC_4_H37,aOral,0.5986,0.6261,72.0271,25.2651,1.4831
10,4,2177,875,21,4.0475,RDC_4_H38,aOral,0.3239,0.1296,70.5215,28.3447,0.6803
122533,8967,294025,105545,196957,56.9656,RDC_4_H39,aOral,16.8308,1.2317,40.3866,14.4974,27.0535
2556,4128,433847,99166,3953,11.6866,RDC_4_H40,aOral,0.4702,0.7593,79.8026,18.2408,0.7271
