TAXID,RDC_4_H31,RDC_6_EB12,RDC_2_H8,RDC_6_H68,RDC_2_H6,RDC_2_H11,RDC_5_H57,RDC_4_EB7,RDC_2_H3,RDC_5_H48,RDC_6_H71,RDC_6_S8,RDC_4_EB8,RDC_5_H43,RDC_3_H15,RDC_6_LP_B12,RDC_3_S4,RDC_5_H46,RDC_4_H30,RDC_4_H40,RDC_6_EB11,RDC_3_H23,RDC_2_S3,RDC_3_H22,RDC_3_H14,RDC_5_H55,RDC_4_S5,RDC_6_H62,RDC_5_H52,RDC_4_H29,RDC_4_H33,RDC_4_H32,RDC_1_S2,RDC_5_EB9,RDC_6_H65,RDC_2_H5,RDC_4_H41,RDC_5_H58,RDC_4_H38,RDC_3_EB6,RDC_6_H67,RDC_4_H28,RDC_5_LP_B10,RDC_2_LP_B4,RDC_5_H44,RDC_4_H26,RDC_5_H54,RDC_6_H66,RDC_3_H13,RDC_4_H37,RDC_2_H10,RDC_1_H1,RDC_4_H39,RDC_1_EB2,RDC_2_H4,RDC_5_H49,RDC_2_H7,RDC_3_H16,RDC_6_H69,RDC_2_EB3,RDC_4_S6,RDC_6_H63,RDC_5_H56,RDC_5_S7,RDC_6_H64,RDC_1_H2,RDC_5_EB10,RDC_5_H53,RDC_5_H50,RDC_3_H18,RDC_6_H70,RDC_3_H21,RDC_1_S1,RDC_5_H61,RDC_4_H42,RDC_3_H12,RDC_5_H51,RDC_4_H35,RDC_6_H72,RDC_4_H25,RDC_3_H17,RDC_3_H24,RDC_5_H59,RDC_3_H20,RDC_5_H47,RDC_5_H45,RDC_4_H27,RDC_3_EB5,RDC_2_H9,RDC_3_H19,RDC_5_H60,RDC_4_H34,RDC_4_H36
1,8311.0,195.0,62478.0,173455.0,91125.0,306901.0,34928.0,45.0,117344.0,24193.0,2784.0,4558.0,21.0,69217.0,54637.0,12.0,13165.0,1024.0,7033.0,15261.0,12.0,185182.0,10814.0,588.0,10550.0,48940.0,284298.0,48520.0,86738.0,13721.0,5409.0,3586.0,530.0,41.0,179537.0,245722.0,3178.0,93403.0,200.0,2.0,112208.0,77922.0,4.0,19.0,115139.0,339922.0,29166.0,136224.0,150365.0,9490.0,343776.0,411973.0,221450.0,3.0,32928.0,75150.0,212913.0,7446.0,610047.0,23.0,10635.0,50357.0,41118.0,51285.0,9989.0,3742.0,13.0,26906.0,49203.0,31823.0,224385.0,10228.0,75202.0,38439.0,76500.0,25322.0,135105.0,998.0,2748.0,44323.0,43338.0,9307.0,68487.0,21941.0,56102.0,70496.0,69424.0,13.0,176895.0,41678.0,54382.0,2892.0,11443.0
131567,8311.0,195.0,62475.0,173422.0,91115.0,306876.0,34921.0,45.0,117317.0,24190.0,2784.0,4558.0,21.0,69213.0,54632.0,12.0,13165.0,1024.0,7033.0,15257.0,12.0,185172.0,10814.0,588.0,10549.0,48937.0,284285.0,48517.0,86725.0,13721.0,5407.0,3586.0,530.0,41.0,179518.0,245702.0,3178.0,93389.0,200.0,2.0,112199.0,77918.0,4.0,19.0,115130.0,339898.0,29162.0,136222.0,150358.0,9490.0,343749.0,411938.0,221448.0,3.0,32923.0,75148.0,212907.0,7446.0,610036.0,23.0,10633.0,50356.0,41111.0,51281.0,9989.0,3741.0,13.0,26902.0,49199.0,31822.0,224355.0,10228.0,75202.0,38436.0,76494.0,25321.0,135072.0,998.0,2748.0,44309.0,43332.0,9307.0,68485.0,21940.0,56100.0,70490.0,69416.0,13.0,176890.0,41675.0,54371.0,2892.0,11442.0
2,8024.0,155.0,45188.0,168917.0,87595.0,274523.0,33332.0,37.0,110958.0,23053.0,2216.0,2651.0,9.0,63851.0,44921.0,10.0,11908.0,577.0,6896.0,13885.0,10.0,182815.0,9759.0,232.0,8925.0,35291.0,267217.0,36254.0,82146.0,10513.0,4596.0,3240.0,209.0,32.0,168832.0,233456.0,1763.0,90049.0,132.0,2.0,97044.0,76128.0,1.0,15.0,108704.0,309928.0,27785.0,129972.0,133134.0,8740.0,326630.0,406028.0,215514.0,3.0,31643.0,73004.0,209919.0,4784.0,599630.0,21.0,9880.0,47933.0,35838.0,48721.0,9755.0,3499.0,8.0,25298.0,48176.0,31477.0,129630.0,9704.0,67200.0,36266.0,72734.0,24648.0,128169.0,518.0,2456.0,39416.0,39197.0,7814.0,59931.0,19629.0,54582.0,67496.0,52367.0,11.0,172261.0,22319.0,52566.0,2704.0,10685.0
1783272,5183.0,42.0,31865.0,71569.0,34364.0,140044.0,22714.0,15.0,65620.0,10494.0,1299.0,261.0,6.0,29835.0,29854.0,0.0,3328.0,249.0,3892.0,11286.0,0.0,94552.0,2730.0,124.0,3856.0,21370.0,84259.0,25036.0,47671.0,4890.0,2400.0,1401.0,59.0,8.0,65174.0,147653.0,892.0,51037.0,30.0,0.0,54069.0,40866.0,0.0,11.0,71832.0,211578.0,10892.0,55110.0,69835.0,3965.0,103341.0,348759.0,59728.0,3.0,18833.0,43813.0,106519.0,2768.0,156351.0,12.0,2819.0,16150.0,20673.0,16153.0,3417.0,934.0,2.0,14964.0,10591.0,4849.0,85302.0,3445.0,18026.0,21658.0,36922.0,9001.0,75132.0,250.0,926.0,28656.0,23873.0,2712.0,34278.0,11451.0,37154.0,35222.0,35540.0,8.0,69116.0,15027.0,34455.0,1139.0,4274.0
201174,3444.0,35.0,10924.0,44535.0,12504.0,38250.0,19833.0,5.0,45074.0,4574.0,521.0,234.0,3.0,16361.0,18986.0,0.0,2957.0,152.0,1273.0,2198.0,0.0,10719.0,2321.0,73.0,3542.0,6858.0,76864.0,10490.0,34269.0,4122.0,1305.0,736.0,44.0,5.0,50658.0,40466.0,459.0,37980.0,20.0,0.0,37499.0,10240.0,0.0,10.0,29491.0,45677.0,7740.0,51196.0,31359.0,2837.0,94563.0,68432.0,56081.0,0.0,7885.0,13660.0,26715.0,1691.0,37822.0,4.0,2620.0,6675.0,8019.0,15132.0,1531.0,87.0,0.0,12167.0,7609.0,990.0,50603.0,3249.0,14572.0,10449.0,35915.0,5031.0,48718.0,184.0,290.0,9447.0,13939.0,2496.0,17276.0,8603.0,5286.0,12933.0,14468.0,2.0,36298.0,10654.0,6344.0,679.0,1396.0
1760,3438.0,35.0,10882.0,44388.0,12483.0,38141.0,19775.0,5.0,44913.0,4561.0,520.0,234.0,3.0,16284.0,18897.0,0.0,2943.0,152.0,1270.0,2194.0,0.0,10695.0,2300.0,73.0,3533.0,6833.0,76495.0,10446.0,34163.0,4106.0,1295.0,733.0,44.0,5.0,50517.0,40357.0,457.0,37838.0,20.0,0.0,37364.0,10193.0,0.0,10.0,29346.0,45521.0,7706.0,50954.0,31257.0,2831.0,94140.0,68307.0,55890.0,0.0,7856.0,13605.0,26663.0,1686.0,37755.0,4.0,2614.0,6657.0,7956.0,15064.0,1527.0,87.0,0.0,12114.0,7597.0,987.0,50425.0,3243.0,14440.0,10424.0,35840.0,5017.0,48577.0,184.0,289.0,9412.0,13869.0,2489.0,17213.0,8576.0,5276.0,12889.0,14418.0,2.0,36196.0,10607.0,6331.0,677.0,1392.0
85007,1234.0,17.0,3511.0,16480.0,4511.0,14045.0,6127.0,1.0,14852.0,1557.0,170.0,93.0,0.0,5479.0,6089.0,0.0,1149.0,59.0,521.0,648.0,0.0,3663.0,922.0,21.0,1327.0,2092.0,31847.0,3424.0,11831.0,1582.0,427.0,257.0,17.0,3.0,20302.0,13637.0,114.0,12229.0,9.0,0.0,11528.0,3463.0,0.0,4.0,9452.0,17159.0,2575.0,13174.0,10405.0,1033.0,36105.0,22813.0,22024.0,0.0,2543.0,4619.0,9907.0,549.0,12686.0,3.0,934.0,2502.0,2481.0,6434.0,609.0,28.0,0.0,3941.0,2925.0,399.0,16394.0,1357.0,4352.0,3731.0,12881.0,1773.0,15662.0,57.0,106.0,3051.0,4281.0,1053.0,5707.0,2996.0,1786.0,4345.0,4570.0,2.0,13384.0,3124.0,2256.0,207.0,537.0
1762,473.0,7.0,1245.0,5511.0,1566.0,5508.0,2356.0,0.0,5614.0,549.0,66.0,11.0,0.0,1921.0,2146.0,0.0,594.0,22.0,159.0,235.0,0.0,1325.0,470.0,15.0,704.0,849.0,17514.0,1278.0,3896.0,754.0,152.0,75.0,13.0,2.0,6300.0,5116.0,53.0,4620.0,6.0,0.0,4350.0,1218.0,0.0,0.0,3534.0,5540.0,1186.0,5355.0,3786.0,330.0,17856.0,7807.0,9551.0,0.0,925.0,1758.0,3004.0,195.0,4742.0,0.0,467.0,786.0,919.0,3524.0,213.0,9.0,0.0,1434.0,963.0,137.0,6119.0,658.0,1833.0,1186.0,5268.0,620.0,5707.0,19.0,39.0,1060.0,1448.0,580.0,2078.0,1111.0,594.0,1571.0,1685.0,1.0,4347.0,1139.0,936.0,71.0,187.0
1763,463.0,7.0,1208.0,5398.0,1543.0,5329.0,2332.0,0.0,5452.0,536.0,63.0,11.0,0.0,1888.0,2072.0,0.0,554.0,22.0,155.0,231.0,0.0,1288.0,444.0,13.0,674.0,828.0,16689.0,1250.0,3831.0,730.0,151.0,75.0,12.0,1.0,6152.0,4933.0,51.0,4487.0,6.0,0.0,4244.0,1195.0,0.0,0.0,3446.0,5419.0,1159.0,5118.0,3693.0,325.0,17052.0,7760.0,9103.0,0.0,887.0,1725.0,2968.0,191.0,4641.0,0.0,451.0,761.0,885.0,3327.0,210.0,9.0,0.0,1385.0,934.0,127.0,5949.0,629.0,1747.0,1172.0,5106.0,610.0,5549.0,15.0,37.0,1039.0,1400.0,559.0,1997.0,1087.0,587.0,1535.0,1645.0,1.0,4227.0,1121.0,916.0,68.0,183.0
120793,210.0,3.0,647.0,2696.0,830.0,2749.0,1278.0,0.0,2972.0,278.0,36.0,10.0,0.0,1022.0,1106.0,0.0,269.0,12.0,77.0,141.0,0.0,685.0,210.0,9.0,312.0,385.0,8031.0,659.0,2090.0,347.0,82.0,38.0,1.0,0.0,3116.0,2484.0,33.0,2381.0,2.0,0.0,2143.0,624.0,0.0,0.0,1834.0,2910.0,600.0,2650.0,1986.0,169.0,8439.0,4594.0,4625.0,0.0,447.0,847.0,1639.0,118.0,2598.0,0.0,260.0,399.0,460.0,1577.0,99.0,6.0,0.0,751.0,483.0,73.0,3293.0,308.0,797.0,674.0,2668.0,333.0,2898.0,9.0,20.0,551.0,776.0,292.0,1104.0,577.0,303.0,834.0,859.0,0.0,2305.0,603.0,494.0,44.0,100.0
