TAXID,SRX3830154_human_calculus,SRX4318863_human_caries,SRX024173_human_gut,SRX024148_human_gut,ERR584333_labcontam,SRX024023_human_gut,SRX3830174_human_calculus,SRX024200_human_plaque,SRX023994_human_gut,ERR584348_labcontam,SRX4318860_human_caries,ERR584320_labcontam,SRS727524_human_skin,SRS728264_human_skin,SRX740589_human_skin,SRX3830184_human_calculus,SRX740562_human_skin,SRX025192_human_plaque,SRX3830126_human_calculus,SRX740632_human_skin,SRX025193_human_plaque,SRX101411_human_plaque,SRX3830225_human_calculus,SRX4318858_human_caries,ERR584341_labcontam,SRR5823608_soil,SRR5823606_soil,SRR5823609_soil,SRR5823611_soil
1,53143,62058,1473348,708026,11174,831273,73223,1127742,1118113,10288,79031,301,60764,744420,250133,147204,132823,690138,94557,431934,562793,588753,126748,40167,35,424916,112534,665236,260105
131567,53140,62056,1473329,708008,11174,831255,73210,1127700,1117960,10288,79027,301,60614,743693,248454,147196,132302,690098,94547,431571,562780,588676,126731,40155,35,424880,112528,665214,260094
2,51546,61087,1459193,704355,11174,820991,68568,1116444,1102287,10288,77853,301,58732,742484,246126,139764,130651,677253,52663,424308,554826,580409,125110,39074,35,348419,81173,547774,208837
1224,27468,10194,169126,19619,3208,33526,24216,581412,61848,7713,10937,109,30429,547615,107967,50162,71764,146777,18629,157486,170449,199485,47655,8147,28,245700,57077,399613,147846
28211,12244,1657,45468,3719,1386,8427,10041,22661,12620,883,2043,53,8223,245569,7439,9789,32018,10962,8184,25519,13535,30409,10219,1091,3,120081,28971,196814,72292
356,7309,733,20422,2048,1363,4295,5319,11762,6670,173,1085,31,4849,76243,3550,5176,8312,5746,4459,18897,6897,15756,5262,562,3,72734,17481,119857,43788
82115,4302,367,11966,1333,47,2924,3301,7647,4467,25,648,0,3306,37387,2164,3149,6332,3879,2662,17470,4360,9850,3200,288,0,40379,10284,66266,24335
227290,2520,251,5655,839,47,1841,1958,4670,2720,25,421,0,2600,25408,1546,1977,4749,2026,1563,16542,2316,5272,1986,180,0,23689,6310,38902,14296
379,2240,242,4888,741,45,1515,1636,3979,2434,25,381,0,2187,21044,1355,1693,3481,1622,1328,15547,1880,4436,1660,166,0,21136,5697,34824,12825
2613769,1034,113,2649,397,4,878,771,2128,1321,25,240,0,1494,11700,769,869,2184,858,690,14740,813,2224,824,79,0,9583,2381,16460,5783
