taxon,lfc_(Intercept),lfc_NecropolisIsola Sacra,lfc_NecropolisSelvicciola,se_(Intercept),se_NecropolisIsola Sacra,se_NecropolisSelvicciola,W_(Intercept),W_NecropolisIsola Sacra,W_NecropolisSelvicciola,p_(Intercept),p_NecropolisIsola Sacra,p_NecropolisSelvicciola,q_(Intercept),q_NecropolisIsola Sacra,q_NecropolisSelvicciola,diff_(Intercept),diff_NecropolisIsola Sacra,diff_NecropolisSelvicciola,passed_ss_(Intercept),passed_ss_NecropolisIsola Sacra,passed_ss_NecropolisSelvicciola
Mycobacterium intracellulare,0.158944361657199,0.00855363741620724,0.0489885451763573,0.117165653735969,0.19112841222019,0.284984145718051,1.35657811473811,0.0447533536058102,0.171899194788274,0.180457758849147,0.964465999589513,0.864147723847656,0.378020518537075,0.990746574668739,0.996631760676775,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Mycobacterium avium,-0.509333471407569,0.285220436718216,-0.0518863142982788,0.174984531680192,0.242723979187022,0.453941054584035,-2.91073426043419,1.1750814141789,-0.114301876365477,0.00641471178363431,0.24837142816547,0.909691115710427,0.0519342325274157,0.673497983123545,0.996631760676775,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Mycobacterium lacus,0.187484427645951,-0.0199039862406401,-0.12840505254619,0.128038270218873,0.195932066728566,0.34204164865976,1.46428429035677,-0.10158615980004,-0.37540765298415,0.148809000443784,0.91945461283002,0.708801256140556,0.342570719771628,0.990746574668739,0.996631760676775,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Mycolicibacterium frederiksbergense,-0.374291827703898,0.354443225944223,0.144138617398696,0.131034521796517,0.20729158770112,0.444133791042691,-2.85643678148522,1.70987752023623,0.324538732034559,0.00669740102729117,0.0948475643808452,0.747180282490067,0.0519342325274157,0.546414881424145,0.996631760676775,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Mycobacterium dioxanotrophicus,-0.270856318453114,0.261002554781671,-0.311837573766307,0.153137304656166,0.231268544814355,0.396273724968671,-1.76871546133882,1.12856919211034,-0.78692467887181,0.0842035897601948,0.265484991146582,0.435744077037652,0.232972246114735,0.683158621785141,0.996631760676775,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Mycolicibacterium alvei,-0.203721480276809,0.507417373156276,-0.877818705783137,0.132781162497597,0.212014359877844,0.435426338395871,-1.53426492466879,2.39331606334889,-2.01599818012171,0.134497222767125,0.0225421493999501,0.0520011976608716,0.322933172233781,0.359870520955239,0.766015044124922,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Mycolicibacterium sp. CBMA 213,-0.153896895453936,-0.04048033976236,-0.51757726167443,0.126380241682797,0.203164921615831,0.448866665726762,-1.21772908015323,-0.199248666750184,-1.15307573761669,0.232515045222519,0.84336938234851,0.257693033218118,0.454741814107759,0.986454662345019,0.996631760676775,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Mycolicibacterium fluoranthenivorans,0.41788661857632,-0.330713696217053,0.388674611880419,0.125234468934315,0.224987915827996,0.602274511582814,3.33683387754452,-1.46991759535158,0.64534461347029,0.0289208992039942,0.215527850681034,0.55385610267228,0.119467639702481,0.666073967479217,0.996631760676775,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Tsukamurella tyrosinosolvens,0.16625185837256,0.0122647466377603,-0.0558184065182069,0.120267890045487,0.198979257171066,0.320401895864315,1.3823461799295,0.0616383175418937,-0.174213721075624,0.172453459151833,0.951074310252293,0.862337182507474,0.366443708379184,0.990746574668739,0.996631760676775,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Nocardia farcinica,0.154270779195781,0.0280909750665484,-0.00229952158303447,0.120361774808889,0.194492356422963,0.303150751953673,1.28172569273536,0.144432283011981,-0.00758540616579398,0.205315932264809,0.885687076991233,0.993975226778866,0.414012154039956,0.990746574668739,0.996631760676775,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
