Taxon	Isolation_Source
1	712272	TRUE
2	712319	TRUE
3	267212	TRUE
4	1107316	TRUE
5	712400	TRUE
6	712401	TRUE
7	1343	TRUE
8	47671	TRUE
9	69710	TRUE
10	736	TRUE
11	712310	TRUE
12	133926	TRUE
13	712258	TRUE
14	35519	TRUE
15	712200	TRUE
16	29391	TRUE
17	1633	TRUE
18	712620	TRUE
19	712621	TRUE
20	712622	TRUE
21	712623	TRUE
22	712624	TRUE
23	712626	TRUE
24	671226	TRUE
25	1077464	TRUE
26	113107	TRUE
27	712631	TRUE
28	541000	TRUE
29	1292	TRUE
30	652706	TRUE
31	830	TRUE
32	186804	TRUE
33	979627	TRUE
34	1164882	TRUE
35	186803	TRUE
36	28091	TRUE
37	186802	TRUE
38	177972	TRUE
39	1213720	TRUE
40	671214	TRUE
41	617123	TRUE
42	1501332	TRUE
43	671230	TRUE
44	33033	TRUE
45	341694	TRUE
46	1570339	TRUE
47	218538	TRUE
48	712261	TRUE
49	156456	TRUE
50	187326	TRUE
51	712374	TRUE
52	671224	TRUE
53	135080	TRUE
54	712528	TRUE
55	31977	TRUE
56	135083	TRUE
57	1321780	TRUE
58	712529	TRUE
59	712530	TRUE
60	713030	TRUE
61	712531	TRUE
62	712532	TRUE
63	135079	TRUE
64	712534	TRUE
65	712535	TRUE
66	69823	TRUE
67	423477	TRUE
68	39778	TRUE
69	29466	TRUE
70	712233	TRUE
71	43997	TRUE
72	712318	TRUE
73	671215	TRUE
74	712426	TRUE
75	712116	TRUE
76	712117	TRUE
77	706438	TRUE
78	712118	TRUE
79	712119	TRUE
80	1655	TRUE
81	710238	TRUE
82	1288391	TRUE
83	651609	TRUE
84	114702	TRUE
85	712888	TRUE
86	172042	TRUE
87	1410036	TRUE
88	712503	TRUE
89	230143	TRUE
90	419015	TRUE
91	712156	TRUE
92	155615	TRUE
93	860	TRUE
94	76857	TRUE
95	671211	TRUE
96	848	TRUE
97	710237	TRUE
98	712357	TRUE
99	554406	TRUE
100	157691	TRUE
101	712359	TRUE
102	712360	TRUE
103	712361	TRUE
104	652714	TRUE
105	712362	TRUE
106	157687	TRUE
107	712363	TRUE
108	157688	TRUE
109	671213	TRUE
110	712715	TRUE
111	712716	TRUE
112	712717	TRUE
113	712718	TRUE
114	712719	TRUE
115	712721	TRUE
116	712722	TRUE
117	712723	TRUE
118	712724	TRUE
119	712725	TRUE
120	712726	TRUE
121	712727	TRUE
122	712728	TRUE
123	712729	TRUE
124	712733	TRUE
125	712734	TRUE
126	712735	TRUE
127	712737	TRUE
128	712738	TRUE
129	712739	TRUE
130	712741	TRUE
131	712745	TRUE
132	157	TRUE
133	671227	TRUE
134	815	TRUE
135	28124	TRUE
136	171549	TRUE
137	712435	TRUE
138	712436	TRUE
139	712437	TRUE
140	1583331	TRUE
141	1861803	TRUE
142	200643	TRUE
143	41976	TRUE
144	712439	TRUE
145	836	TRUE
146	712710	TRUE
147	28136	TRUE
148	439703	TRUE
149	28129	TRUE
150	470565	TRUE
151	425941	TRUE
152	712456	TRUE
153	712457	TRUE
154	671218	TRUE
155	407975	TRUE
156	712459	TRUE
157	712460	TRUE
158	712461	TRUE
159	228604	TRUE
160	1283313	TRUE
161	712463	TRUE
162	28135	TRUE
163	652722	TRUE
164	712464	TRUE
165	712465	TRUE
166	652721	TRUE
167	712187	TRUE
168	1705617	TRUE
169	712211	TRUE
170	45242	TRUE
171	712212	TRUE
172	327575	TRUE
173	712213	TRUE
174	712215	TRUE
175	712216	TRUE
176	1017	TRUE
177	710239	TRUE
178	221235	TRUE
179	713049	TRUE
180	713050	TRUE
181	671231	TRUE
182	713051	TRUE
183	713052	TRUE
184	713053	TRUE
185	713054	TRUE
186	0	TRUE
187	713056	TRUE
188	713057	TRUE
189	638849	TRUE
190	1434006	TRUE
191	1431700	TRUE
192	651822	TRUE
193	712288	TRUE
194	712466	TRUE
195	189723	TRUE
196	712217	TRUE
197	46125	TRUE
198	712364	TRUE
199	713008	TRUE
200	712467	TRUE
201	1458253	TRUE
202	2058464	TRUE
203	712218	TRUE
204	712122	TRUE
205	712365	TRUE
206	796942	TRUE
207	76859	TRUE
208	712632	TRUE
209	712633	TRUE
210	292625	TRUE
211	712537	TRUE
212	712468	TRUE
213	712124	TRUE
214	712234	TRUE
215	237576	TRUE
216	712148	TRUE
217	712320	TRUE
218	712367	TRUE
219	76122	TRUE
220	28132	TRUE
221	655809	TRUE
222	712471	TRUE
223	28449	TRUE
224	712538	TRUE
225	712539	TRUE
226	712540	TRUE
227	713059	TRUE
228	467210	TRUE
229	712368	TRUE
230	712402	TRUE
231	31969	TRUE
232	712747	TRUE
233	712149	TRUE
234	712150	TRUE
235	712472	TRUE
236	712748	TRUE
237	712749	TRUE
238	712391	TRUE
239	39777	TRUE
240	712126	TRUE
241	712473	TRUE
242	1747	TRUE
243	714	TRUE
244	46124	TRUE
245	197575	TRUE
246	113287	TRUE
247	143361	TRUE
248	194702	TRUE
249	59892	TRUE
250	1261	TRUE
251	1328	TRUE
252	732	TRUE
253	305719	TRUE
254	84136	TRUE
255	28125	TRUE
256	28126	TRUE
257	40542	TRUE
258	29380	TRUE
259	31973	TRUE
260	28137	TRUE
261	199	TRUE
262	76860	TRUE
263	539	TRUE
264	45634	TRUE
265	84163	TRUE
266	200	TRUE
267	502	TRUE
268	52227	TRUE
269	158	TRUE
270	2047	TRUE
271	114527	TRUE
272	61592	TRUE
273	137732	TRUE
274	495	TRUE
275	76123	TRUE
276	1282	TRUE
277	84109	TRUE
278	118748	TRUE
279	56142	TRUE
280	1613	TRUE
281	34026	TRUE
282	484	TRUE
283	28112	TRUE
284	1596	TRUE
285	52768	TRUE
286	52769	TRUE
287	837	TRUE
288	1302	TRUE
289	824	TRUE
290	1379	TRUE
291	45243	TRUE
292	2718	TRUE
293	43995	TRUE
294	68892	TRUE
295	135082	TRUE
296	28131	TRUE
297	1338	TRUE
298	1659	TRUE
299	486	TRUE
300	53418	TRUE
301	2117	TRUE
302	840	TRUE
303	51160	TRUE
304	189722	TRUE
305	43768	TRUE
306	58231	TRUE
307	487	TRUE
308	52773	TRUE
309	28037	TRUE
310	102148	TRUE
311	43675	TRUE
312	488	TRUE
313	72	TRUE
314	282402	TRUE
315	1309	TRUE
316	1656	TRUE
317	77917	TRUE
318	859	TRUE
319	114528	TRUE
320	28133	TRUE
321	76856	TRUE
322	1018	TRUE
323	1660	TRUE
324	132132	TRUE
325	2121	TRUE
326	28134	TRUE
327	505	TRUE
328	1303	TRUE
329	60133	TRUE
330	1597	TRUE
331	729	TRUE
332	502311	TRUE
333	1382	TRUE
334	138851	TRUE
335	164	TRUE
336	82203	TRUE
337	68891	TRUE
338	39950	TRUE
339	1750	TRUE
340	221027	TRUE
341	1314	TRUE
342	203	TRUE
343	47715	TRUE
344	1383	TRUE
345	2124	TRUE
346	1304	TRUE
347	1624	TRUE
