sample,Sample.Category,Necropolis,Tooth.health,p_Sediment.Soil,p_Skin,p_aOral,p_mOral,p_Unknown,oral_contam_ratio,high_oral_prop,passed_cuperdec
RDC_4_H31,Human,Isola Sacra,Healthy,0.4412,0.6976,71.5561,26.5191,0.786,46.3227978305592,TRUE,TRUE
RDC_6_EB12,Ext Blank,NA,NA,38.1974,0,0,0,61.8026,0.0255118961971968,FALSE,FALSE
RDC_2_H8,Human,Isola Sacra,Healthy,0.3399,0.5764,75.2009,22.4613,1.4214,51.4857798883265,TRUE,TRUE
RDC_6_H68,Human,Lucus Feroniae,Healthy,0.3785,0.6892,63.5058,32.0235,3.403,46.6843836146443,TRUE,TRUE
RDC_2_H6,Human,Isola Sacra,Healthy,0.4887,0.9964,67.5432,29.5704,1.4012,39.4807452416402,TRUE,TRUE
RDC_2_H11,Human,Selvicciola,Healthy,2.179,2.118,48.3457,41.8033,5.5539,17.2076647158769,TRUE,TRUE
RDC_5_H57,Human,Isola Sacra,Healthy,0.296,0.3335,74.0649,24.5005,0.8051,61.1018103712795,TRUE,FALSE
RDC_4_EB7,Ext Blank,NA,NA,0,0,57.1429,0,42.8571,58.1429,FALSE,TRUE
RDC_2_H3,Human,Lucus Feroniae,Healthy,0.3524,0.3879,72.782,24.6143,1.8634,56.539849451244,TRUE,TRUE
RDC_5_H48,Human,Lucus Feroniae,Healthy,0.4757,0.581,70.8979,26.4953,1.55,47.8403267370059,TRUE,TRUE
RDC_6_H71,Human,Isola Sacra,Healthy,0.264,0.1983,79.1373,19.3895,1.011,68.0618204198865,TRUE,TRUE
RDC_6_S8,Soil,Lucus Feroniae,NA,10.016,4.2076,40.9101,30.5282,14.338,4.7582897606348,FALSE,FALSE
RDC_4_EB8,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_5_H43,Human,Lucus Feroniae,Healthy,0.326,0.3177,77.7896,19.9336,1.6331,60.0615684127274,TRUE,TRUE
RDC_3_H15,Human,Lucus Feroniae,Caries,0.4154,0.5672,75.3172,22.7869,0.9134,49.986936346212,TRUE,TRUE
RDC_6_LP_B12,LP Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_3_S4,Soil,Lucus Feroniae,NA,46.1985,0.7264,0.2886,0.1364,52.6501,0.0297340213542438,FALSE,FALSE
RDC_5_H46,Human,Lucus Feroniae,Caries,0.8788,0.9249,76.4966,20.011,1.6887,34.7781859685416,TRUE,FALSE
RDC_4_H30,Human,Lucus Feroniae,Healthy,1.0169,1.7819,57.6456,36.3824,3.1732,25.0152679793619,TRUE,TRUE
RDC_4_H40,Human,Selvicciola,Healthy,0.4702,0.7593,79.8026,18.2408,0.7271,44.4240412648576,TRUE,TRUE
RDC_6_EB11,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_3_H23,Human,Selvicciola,Caries,0.7464,2.775,49.0334,45.8173,1.6279,21.1993409121069,TRUE,TRUE
RDC_2_S3,Soil,Lucus Feroniae,NA,42.0037,0.6675,0.3991,0.3659,56.5638,0.0404156515048819,FALSE,FALSE
RDC_3_H22,Human,Selvicciola,Healthy in caries mouth,0.1248,0.8886,76.3898,22.0753,0.5214,49.4015595510082,TRUE,TRUE
RDC_3_H14,Human,Lucus Feroniae,Caries,2.5307,0.5552,67.4889,25.8805,3.5448,23.0963557600529,TRUE,FALSE
RDC_5_H55,Human,Isola Sacra,Healthy,0.2282,0.335,79.4379,18.4163,1.5826,63.2383572159672,TRUE,TRUE
RDC_4_S5,Soil,Lucus Feroniae,NA,45.8779,0.7188,0.7951,0.5649,52.0433,0.0495832694283427,FALSE,FALSE
RDC_6_H62,Human,Lucus Feroniae,Healthy in caries mouth,0.3037,0.3234,78.6306,19.4192,1.3231,60.8750537766579,TRUE,TRUE
RDC_5_H52,Human,Isola Sacra,Healthy,0.3168,0.444,73.5535,23.7707,1.915,55.840640617901,TRUE,FALSE
RDC_4_H29,Human,Lucus Feroniae,Healthy,3.0002,0.7403,67.9143,25.1733,3.1719,19.8476110114967,TRUE,FALSE
RDC_4_H33,Human,Isola Sacra,Healthy,0.5705,0.4235,72.3719,25.8277,0.8064,49.7490471414243,TRUE,TRUE
RDC_4_H32,Human,Isola Sacra,Healthy,0.0639,0.3829,76.5891,21.3175,1.6465,68.3623168371579,TRUE,TRUE
RDC_1_S2,Soil,Lucus Feroniae,NA,39.3333,1.3333,0.3333,0.6667,58.3333,0.0480000768001229,FALSE,FALSE
RDC_5_EB9,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_6_H65,Human,Lucus Feroniae,Healthy in caries mouth,0.3152,0.4719,67.7406,28.0247,3.4476,54.1465502769851,TRUE,TRUE
RDC_2_H5,Human,Lucus Feroniae,Healthy,0.3365,0.7542,68.516,27.838,2.5552,46.5652652221744,TRUE,TRUE
RDC_4_H41,Human,Lucus Feroniae,Healthy in caries mouth,2.2158,0.4932,71.7251,23.6789,1.8871,25.99191156646,TRUE,TRUE
RDC_5_H58,Human,Isola Sacra,Healthy,0.3028,0.3293,75.8335,21.7157,1.8187,60.3818393480792,TRUE,TRUE
RDC_4_H38,Human,Isola Sacra,Healthy,0.3239,0.1296,70.5215,28.3447,0.6803,68.7073959408325,TRUE,TRUE
RDC_3_EB6,Ext Blank,NA,NA,0,0,0,0,0,1,FALSE,FALSE
RDC_6_H67,Human,Lucus Feroniae,Healthy,0.3004,0.2887,75.2437,22.2852,1.882,62.0029576489837,TRUE,FALSE
RDC_4_H28,Human,Lucus Feroniae,Healthy,0.4618,0.7653,68.7804,28.3703,1.6222,44.0710789816353,TRUE,TRUE
RDC_5_LP_B10,LP Blank,NA,NA,0,0,0,0,100,1,FALSE,FALSE
