taxon,species,in.homd,in.core.hominid,in.contam.list,not.contaminant,threshold,sufficient_abundance,not.abundant.in.soil,taxon_category,Status
1003110,Micromonospora maris,FALSE,FALSE,FALSE,FALSE,0.9,FALSE,NA,None,Decontam & Abundance
1008,Saprospira grandis,FALSE,FALSE,FALSE,FALSE,0.9,FALSE,NA,None,Decontam & Abundance
101571,Burkholderia ubonensis,FALSE,FALSE,TRUE,FALSE,0.1,TRUE,TRUE,In contam list,Decontam low certainty
1016987,Novosphingobium sp. THN1,FALSE,FALSE,TRUE,FALSE,0.1,TRUE,FALSE,In contam list,Decontam & Soil
102116,Stanieria cyanosphaera,FALSE,FALSE,FALSE,FALSE,0.3,TRUE,TRUE,None,Decontam low certainty
1028381,Bacillaceae bacterium JMAK1,FALSE,FALSE,FALSE,FALSE,0.9,FALSE,NA,None,Decontam & Abundance
1028414,Psychrobacter sp. DAB_AL32B,FALSE,FALSE,TRUE,FALSE,0.9,FALSE,NA,In contam list,Decontam & Abundance
102862,Proteus penneri,FALSE,FALSE,FALSE,FALSE,0.9,FALSE,NA,None,Decontam & Abundance
1028752,Shewanella aestuarii,FALSE,FALSE,FALSE,FALSE,0.3,FALSE,NA,None,Decontam & Abundance
1033846,Marinobacter adhaerens,FALSE,FALSE,FALSE,FALSE,0.3,TRUE,TRUE,None,Decontam low certainty
1033922,Rhodococcus sp. WB1,FALSE,FALSE,TRUE,FALSE,0.1,TRUE,TRUE,In contam list,Decontam low certainty
103690,Nostoc sp. PCC 7120 = FACHB-418,FALSE,FALSE,FALSE,FALSE,0.3,TRUE,TRUE,None,Decontam low certainty
103816,Rhodococcus pyridinivorans,FALSE,FALSE,TRUE,FALSE,0.1,TRUE,TRUE,In contam list,Decontam low certainty
104087,Pseudomonas frederiksbergensis,FALSE,FALSE,TRUE,FALSE,0.3,TRUE,TRUE,In contam list,Decontam low certainty
1040979,Cupriavidus neocaledonicus,FALSE,FALSE,TRUE,FALSE,0.05,TRUE,TRUE,In contam list,Decontam low certainty
104102,Acetobacter tropicalis,FALSE,FALSE,FALSE,FALSE,0.9,FALSE,NA,None,Decontam & Abundance
1045808,Rhodococcus sp. YL-1,FALSE,FALSE,TRUE,FALSE,0.1,TRUE,TRUE,In contam list,Decontam low certainty
104628,Helicobacter suis,FALSE,FALSE,FALSE,FALSE,0.9,FALSE,NA,None,Decontam & Abundance
1048396,Halopenitus persicus,FALSE,FALSE,FALSE,FALSE,0.3,FALSE,NA,None,Decontam & Abundance
1049,Allochromatium vinosum,FALSE,FALSE,FALSE,FALSE,0.3,FALSE,NA,None,Decontam & Abundance
1049583,Kocuria indica,FALSE,FALSE,TRUE,FALSE,0.3,FALSE,NA,In contam list,Decontam & Abundance
105219,Ralstonia mannitolilytica,FALSE,FALSE,TRUE,FALSE,0.3,TRUE,FALSE,In contam list,Decontam & Soil
1054034,Arcobacter cloacae,FALSE,FALSE,FALSE,FALSE,0.3,FALSE,NA,None,Decontam & Abundance
105560,Methylibium petroleiphilum,FALSE,FALSE,FALSE,FALSE,0.05,TRUE,TRUE,None,Decontam low certainty
