"","taxon","freq","prev","p.freq","p.prev","p","not.contaminant","phylum","class","order","family","genus","species","in.homd","in.core.hominid","in.contam.list","taxon_category","threshold"
"1","1767",0.015193226537184,67,NA,0.00735294117647056,0.00735294117647056,TRUE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium intracellulare",FALSE,FALSE,FALSE,"None",0.05
"2","1764",0.000283950694694008,46,NA,0.161764705882353,0.161764705882353,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium avium",FALSE,FALSE,FALSE,"None",0.05
"3","169765",0.00678023472855481,67,NA,0.00735294117647056,0.00735294117647056,TRUE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium lacus",FALSE,FALSE,FALSE,"None",0.05
"4","1773",0.00501627403870103,67,NA,0.00735294117647056,0.00735294117647056,TRUE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium tuberculosis",FALSE,FALSE,FALSE,"None",0.05
"5","117567",0.000495453566759844,51,NA,0.125,0.125,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium frederiksbergense",FALSE,FALSE,FALSE,"None",0.05
"6","482462",0.000720726242273533,53,NA,0.110294117647059,0.110294117647059,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium dioxanotrophicus",FALSE,FALSE,FALSE,"None",0.05
"7","1389713",0.000178577085909344,45,NA,0.169117647058824,0.169117647058824,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium paragordonae",FALSE,FALSE,FALSE,"None",0.05
"8","1547487",1.84057822875809e-05,24,NA,0.323529411764706,0.323529411764706,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp. ELW1",FALSE,FALSE,FALSE,"None",0.05
"9","39689",1.31972675051045e-05,25,NA,0.316176470588235,0.316176470588235,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium gallinarum",FALSE,FALSE,FALSE,"None",0.05
"10","67081",0.000349983643982507,57,NA,0.0808823529411764,0.0808823529411764,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium alvei",FALSE,FALSE,FALSE,"None",0.05
"11","1968788",0.000130294869127212,46,NA,0.161764705882353,0.161764705882353,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium sp. CBMA 213",FALSE,FALSE,FALSE,"None",0.05
"12","319707",3.40077405168593e-05,35,NA,0.242647058823529,0.242647058823529,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium aubagnense",FALSE,FALSE,FALSE,"None",0.05
"13","258505",5.22792595361023e-05,37,NA,0.227941176470588,0.227941176470588,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium fluoranthenivorans",FALSE,FALSE,FALSE,"None",0.05
"14","57704",0.0241853936965385,66,NA,0.514705882352941,0.514705882352941,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Tsukamurellaceae","Tsukamurella","Tsukamurella tyrosinosolvens",FALSE,FALSE,FALSE,"None",0.05
"15","37329",0.0123278292124443,68,NA,0.5,0.5,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Nocardia","Nocardia farcinica",FALSE,FALSE,FALSE,"None",0.05
"16","2683591",0.000482996335147141,59,NA,0.0661764705882353,0.0661764705882353,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus sp. 21391",FALSE,FALSE,TRUE,"In contam list",0.05
"17","2811421",0.000426447856325175,60,NA,0.0588235294117647,0.0588235294117647,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus pseudokoreensis",FALSE,FALSE,TRUE,"In contam list",0.05
"18","2722825",0.000229168965774646,57,NA,0.0808823529411764,0.0808823529411764,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus sp. DMU1",FALSE,FALSE,TRUE,"In contam list",0.05
"19","2749906",0.000355916699098983,52,NA,0.117647058823529,0.117647058823529,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus sp. ZPP",FALSE,FALSE,TRUE,"In contam list",0.05
"20","334542",0.00252857889684768,63,NA,0.0367647058823529,0.0367647058823529,TRUE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus qingshengii",FALSE,FALSE,TRUE,"In contam list",0.05
"21","1833",0.00019605810059674,52,NA,0.117647058823529,0.117647058823529,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus erythropolis",FALSE,FALSE,TRUE,"In contam list",0.05
"22","37919",0.00055641201942138,60,NA,0.0588235294117647,0.0588235294117647,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus opacus",FALSE,FALSE,TRUE,"In contam list",0.05
"23","1829",0.000273414149217919,58,NA,0.0735294117647058,0.0735294117647058,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus rhodochrous",FALSE,FALSE,TRUE,"In contam list",0.05
"24","99653",0.000258821872098618,59,NA,0.0661764705882353,0.0661764705882353,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus koreensis",FALSE,FALSE,TRUE,"In contam list",0.05
"25","1830",0.00038296927398632,45,NA,0.169117647058824,0.169117647058824,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus ruber",FALSE,FALSE,TRUE,"In contam list",0.05
"26","132919",0.000112781864124309,47,NA,0.154411764705882,0.154411764705882,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus jostii",FALSE,FALSE,TRUE,"In contam list",0.05
