"Necropolis","dominant_taxa","n","rel.freq","rel.freq.pct"
"Selvicciola","Streptococcus gordonii",5,83.3,"83%"
"Lucus Feroniae","Streptococcus gordonii",18,69.2,"69%"
"Isola Sacra","Streptococcus gordonii",15,51.7,"52%"
"Lucus Feroniae","Neisseria meningitidis",7,26.9,"27%"
"Isola Sacra","Neisseria meningitidis",6,20.7,"21%"
"Selvicciola","Clostridioides difficile",1,16.7,"17%"
"Isola Sacra","Clostridioides difficile",3,10.3,"10%"
"Isola Sacra","Methanobrevibacter smithii",2,6.9,"7%"
"Lucus Feroniae","Streptomyces chartreusis",1,3.8,"4%"
"Isola Sacra","Streptomyces chartreusis",1,3.4,"3%"
"Isola Sacra","Streptomyces sp. M56",1,3.4,"3%"
"Isola Sacra","Tsukamurella tyrosinosolvens",1,3.4,"3%"
