"SRX3830154_oral"	"SRX4318863_oral"	"SRX024173_human_gut"	"SRX024148_human_gut"	"ERR584333_labcontam"	"SRX024023_human_gut"	"SRX3830174_oral"	"SRX024200_oral"	"SRX023994_human_gut"	"ERR584348_labcontam"	"SRX4318860_oral"	"ERR584320_labcontam"	"SRS727524_human_skin"	"SRS728264_human_skin"	"SRX740589_human_skin"	"SRX3830184_oral"	"SRX740562_human_skin"	"SRX025192_oral"	"SRX3830126_oral"	"SRX740632_human_skin"	"SRX025193_oral"	"SRX101411_oral"	"SRX3830225_oral"	"SRX4318858_oral"	"ERR584341_labcontam"	"SRR5823608_soil"	"SRR5823606_soil"	"SRR5823609_soil"	"SRR5823611_soil"	"Unknown"
"RDC_4_H31_NA"	0.161785177743853	9.40515471854354e-102	0	0	0.0130181066721599	0	0.20585310954253	2.65461318888593e-21	5.44970728565541e-137	1.65970916546918e-20	0.0647019435116781	3.87350593928732e-12	6.2183987690475e-11	4.835755314847e-44	7.45228207237342e-05	7.02877232044713e-48	6.08447972612061e-82	0.12471060214867	0.0487414608463995	0.0036183525190604	2.46114300727838e-23	6.90247256162174e-40	5.02713219694915e-52	1.87210346139309e-56	9.5318393068777e-53	0.0517834138291161	1.69202067161302e-30	1.47317192224714e-26	0.106963310299753	0.21875
"RDC_6_EB12_NA"	0.116923089057955	0	0	0	0	1.42246303337123e-13	0.0905674437939708	0.0768009668075182	0	0.0173108921015524	1.22862962087742e-34	0	2.15196853719588e-11	0	0	0.0952799158293793	2.4496485846727e-20	4.79072613052984e-16	3.92822860488838e-35	5.84476912853502e-10	0.0249510060925373	0.0011022004644754	3.09763775226926e-09	0	7.93720029178335e-19	0.0751376882083064	0.085021390346618	0.0586585485551527	0.108246855038757	0.25
"RDC_2_H8_NA"	9.36452811955402e-08	0.0126658422407051	0.000916071705556542	2.90847421829324e-09	0.066511419078182	0	0.0457241970198652	0.0340642405651322	0	0.0187914246058282	1.44271475421444e-06	7.93040505713323e-12	9.41643125100188e-09	7.4450203181436e-06	7.87176938980874e-06	0.0101065095854367	0.000404141620152757	0.00468547780937371	0.305904530569181	0.00049891404043784	0.155459398713828	0.00231873748520228	0.115422095655056	0.000388928044105522	7.00462518695645e-06	0.000500935238246518	0.0954863252841361	0.040083200191025	0.0577856759246543	0.032258064516129
"RDC_6_H68_NA"	0.0667240998020071	0.116315728614655	0.0854071302368612	8.01298073278617e-08	0.0293686568805671	9.40892384435484e-07	0.137676237206739	0.015167576204811	8.59309689227618e-08	2.02441370721323e-21	5.344603538352e-20	2.47151718857673e-33	9.03055334832459e-14	3.65060306884336e-07	1.03055084269986e-16	2.4536716214948e-08	2.70113026769988e-24	0.000270156979844716	2.61203096819837e-07	2.15906545903997e-08	0.20931439278478	2.58447780732183e-06	0.167148116964315	0.0631827884611867	7.46631681229519e-45	6.86152634516248e-14	0.0303030303030303	0.0118841316076863	0.00662752952555376	0.0606060606060606
"RDC_2_H6_NA"	0.139009172268255	1.66689020819915e-25	8.01724041810608e-61	0	0.0249700954078697	5.99023503646896e-73	0.0939508614201196	0.089607458569854	0	3.73349949687744e-35	5.26573336959607e-25	1.06689615566624e-14	1.84648192599469e-58	4.7688257150355e-66	1.34509160754381e-53	0.00691577547434341	0.0026046957213092	0.0616901281457307	0.101505722409973	4.01837371459368e-45	2.91553867607824e-19	4.09103108652479e-33	0.0952430699677894	0.120112427816175	5.39693824179113e-154	1.05508443562763e-36	0.0643905925814706	2.25061731487979e-10	7.00709835495892e-98	0.199999999992038
"RDC_2_H11_NA"	1.30234742936106e-07	0.00422011066816093	4.16273776649696e-12	0	0	0	3.7680349219922e-06	0.507395760650246	0	0.000135598907597792	3.18240526850137e-08	0	2.42894785158101e-07	7.00445908229248e-16	2.95712559173709e-07	0.000875893839091558	0.0353791668497696	0.00389888159056275	7.04371973380502e-07	0.0567290011841198	0.0784345288913975	0.00131854073615754	0.0189997026363917	0.000490431437923086	6.7674697935007e-12	1.63270009669922e-07	6.00356821510101e-06	0.229610659756768	3.8292962370026e-07	0.0625
"RDC_5_H57_NA"	4.22286000658926e-06	0	1.64809321746117e-70	0	2.59772635974274e-17	1.0450769672637e-25	0.481321666479042	0.051019984942778	0.0440894810760563	5.62773691777421e-54	3.60845075457036e-44	0.0684976651159809	7.81772286308733e-05	0.0705500505608322	3.92971573309923e-46	2.87462242394276e-26	2.22997393783795e-43	2.19672932231263e-46	0.0881259387403164	0.0339267442110353	5.73661897996466e-41	2.32503045765364e-11	5.74485864094713e-15	0	2.52345960987901e-76	0.00734514974643331	2.474164844493e-06	0.0461155991832328	0.0399573284261756	0.0689655172413793
"RDC_4_EB7_NA"	9.17481241871694e-08	2.34250628424498e-06	1.03935916119944e-06	0	0.00272768894288219	0	0.0321361209967241	0.0946809086193552	0	0.00183185221100053	5.41021634001922e-06	5.02860230208402e-08	0.00521087142792179	2.74810110864284e-07	0.0497248357311309	0.0164005646738476	0	0.0346574366959908	0.0556954418913548	0.212856452734228	0.0294731939108672	0.220754084686579	0.000683882266107674	6.12842758535878e-06	4.74483539847293e-06	0.0327152441795801	0	1.11305619754845e-06	5.06740734967686e-07	0.21042971904647
"RDC_2_H3_NA"	0.183890078946242	1.09019732536854e-87	0	0	2.88713549017441e-15	1.96093565150478e-57	2.28799038705129e-08	6.59679772697438e-30	5.65667764269694e-105	5.54319827702966e-62	9.84493414074236e-17	0.0148898710224428	4.44432081268258e-103	2.85606720240349e-22	1.83682164027781e-31	0.270953098511842	2.71221321724673e-87	2.45713476437851e-10	2.05977973410135e-39	4.7833883439196e-30	0.0849980658837244	4.3155041866696e-07	0.155544767005097	1.23274952291759e-54	2.45849174588663e-59	2.99401729665474e-19	0.158950174223443	4.99048677860169e-42	0.0398643988220789	0.0909090909090909
"RDC_5_H48_NA"	0.126126838899578	7.64821499669317e-162	0	0	7.49285319098034e-103	0	6.76354201005993e-174	0.0431030574861157	0	0.054899695090194	0	0.0917263350534901	1.69512874142406e-103	0.0422693461962328	2.62622754147708e-282	0.200886819162382	0	0.271174102363808	0.108077247623822	1.33295278938608e-137	0.010854767358978	2.27307511154526e-116	8.696702312423e-153	0.0503275857877601	3.15543491947696e-41	3.51993578873495e-312	2.15580497138602e-270	0.000554204977639109	0	0
