RDC_4_H31	RDC_6_EB12	RDC_2_H8	RDC_6_H68	RDC_2_H6	RDC_2_H11	RDC_5_H57	RDC_4_EB7	RDC_2_H3	RDC_5_H48	RDC_6_H71	RDC_6_S8	RDC_4_EB8	RDC_5_H43	RDC_3_H15	RDC_6_LP_B12	RDC_3_S4	RDC_5_H46	RDC_4_H30	RDC_4_H40	RDC_6_EB11	RDC_3_H23	RDC_2_S3	RDC_3_H22	RDC_3_H14	RDC_5_H55	RDC_4_S5	RDC_6_H62	RDC_5_H52	RDC_4_H29	RDC_4_H33	RDC_4_H32	RDC_1_S2	RDC_5_EB9	RDC_6_H65	RDC_2_H5	RDC_4_H41	RDC_5_H58	RDC_4_H38	RDC_3_EB6	RDC_6_H67	RDC_4_H28	RDC_5_LP_B10	RDC_2_LP_B4	RDC_5_H44	RDC_4_H26	RDC_5_H54	RDC_6_H66	RDC_3_H13	RDC_4_H37	RDC_2_H10	RDC_1_H1	RDC_4_H39	RDC_1_EB2	RDC_2_H4	RDC_5_H49	RDC_2_H7	RDC_3_H16	RDC_6_H69	RDC_2_EB3	RDC_4_S6	RDC_6_H63	RDC_5_H56	RDC_5_S7	RDC_6_H64	RDC_1_H2	RDC_5_EB10	RDC_5_H53	RDC_5_H50	RDC_3_H18	RDC_6_H70	RDC_3_H21	RDC_1_S1	RDC_5_H61	RDC_4_H42	RDC_3_H12	RDC_5_H51	RDC_4_H35	RDC_6_H72	RDC_4_H25	RDC_3_H17	RDC_3_H24	RDC_5_H59	RDC_3_H20	RDC_5_H47	RDC_5_H45	RDC_4_H27	RDC_3_EB5	RDC_2_H9	RDC_3_H19	RDC_5_H60	RDC_4_H34	RDC_4_H36	SRX3830154	SRX4318863	SRX024173	SRX024148	ERR584333	SRX024023	SRX3830174	SRX024200	SRX023994	ERR584348	SRX4318860	ERR584320	SRS727524	SRS728264	SRX740589	SRX3830184	SRX740562	SRX025192	SRX3830126	SRX740632	SRX025193	SRX101411	SRX3830225	SRX4318858	ERR584341	SRR5823608	SRR5823606	SRR5823609	SRR5823611
1767	204	3	618	2586	789	2695	1246	0	2960	278	36	10	0	969	1077	0	269	12	77	141	0	671	210	9	306	365	7915	642	2008	347	82	38	1	0	3095	2466	33	2341	2	0	2003	619	0	0	1780	2873	594	2634	1810	169	8279	4349	4565	0	442	828	1495	118	2491	0	259	399	427	1543	99	6	0	744	444	70	3286	305	793	661	2617	327	2830	9	20	516	776	292	1104	566	296	827	834	0	2248	591	489	44	94	1093	140	2106	73	818	262	1850	7714	279	35	324	28	494	1381	1415	1041	662	6436	1203	847	5237	10433	1371	48	0	7191	1989	10371	4532
1764	6	0	28	109	41	53	32	0	12	0	0	0	0	53	29	0	0	0	0	0	0	14	0	0	6	20	116	17	82	0	0	0	0	0	21	18	0	40	0	0	139	5	0	0	53	37	4	16	175	0	160	244	60	0	5	18	144	0	106	0	0	0	32	33	0	0	0	6	38	3	6	2	4	12	50	6	68	0	0	35	0	0	0	11	6	7	25	0	57	11	5	0	5	25	0	0	7	0	32	46	139	0	0	0	0	7	8	45	49	17	105	37	22	394	89	21	5	0	156	56	270	94
169765	110	2	234	1306	405	1268	491	0	1242	112	14	0	0	435	498	0	140	8	37	44	0	328	113	1	166	218	4231	306	908	215	43	24	3	1	1460	1107	12	988	1	0	1052	279	0	0	839	1291	285	1293	912	77	4273	1775	2294	0	227	414	731	49	1084	0	89	189	223	827	57	2	0	315	213	35	1290	157	484	256	1223	136	1311	1	8	263	302	123	446	282	148	377	375	0	960	247	151	16	42	474	38	1231	11	0	41	669	2956	51	0	102	0	176	584	452	392	247	2360	485	313	2151	4039	513	19	0	3667	971	5146	2292
1773	87	2	227	954	213	934	434	0	948	113	8	1	0	333	360	0	100	1	29	36	0	195	83	2	119	162	2819	229	656	123	22	7	6	0	1111	896	5	734	3	0	855	202	0	0	605	914	208	863	603	53	2860	1050	1579	0	157	300	475	22	677	0	68	150	148	579	41	1	0	249	172	16	1150	102	297	180	915	100	989	1	8	153	230	94	344	180	110	257	270	1	709	188	206	6	28	308	29	1474	32	0	149	595	2179	147	0	137	0	147	426	373	350	200	1312	381	230	1194	2810	435	20	0	2429	647	3439	1574
117567	20	0	36	104	24	86	61	0	125	13	0	0	0	25	44	0	0	0	0	4	0	17	0	0	10	16	234	20	75	6	0	4	0	0	200	150	0	140	0	0	44	16	0	0	38	107	34	50	86	0	272	53	142	0	21	55	13	0	55	0	2	9	14	50	0	0	0	16	37	0	82	2	5	27	37	7	120	0	0	19	31	4	29	35	14	42	35	0	119	37	0	0	11	48	2	27	0	0	0	70	252	0	0	9	0	7	54	23	30	11	37	35	20	13	206	35	0	0	176	28	255	115
482462	18	0	50	282	43	122	50	0	152	14	3	0	0	52	42	0	22	0	6	0	0	33	3	0	19	42	341	25	86	13	0	0	0	0	193	146	0	168	0	0	79	25	0	0	86	137	4	84	43	23	281	140	111	0	25	76	53	0	46	0	7	7	21	63	8	0	0	48	7	0	86	9	64	22	149	22	171	3	0	32	54	18	56	0	9	6	44	0	82	39	17	0	0	98	0	55	50	0	52	57	157	42	0	4	0	7	7	39	100	16	87	39	14	12	160	95	0	0	287	62	475	211
1389713	13	0	9	28	16	77	13	0	4	0	0	0	0	8	12	0	0	0	4	0	0	9	7	0	12	0	324	8	9	7	0	0	0	0	39	25	0	4	0	0	25	7	0	0	24	31	6	55	30	0	313	104	126	0	3	21	28	0	93	0	5	0	10	92	0	0	0	4	13	0	18	15	24	8	20	8	44	0	0	9	0	8	10	3	0	10	6	0	29	4	36	0	0	17	0	8	27	0	0	0	67	6	0	4	0	5	29	11	0	15	203	4	4	372	241	0	0	0	114	42	138	89
1547487	1	0	0	2	2	5	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	33	0	0	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	1	6	0	3	2	0	41	0	25	0	2	2	2	0	3	0	0	0	0	5	0	0	0	0	4	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	4	0	1	2	0	3	1	0	0	34	5	16	15
39689	1	0	0	1	0	6	0	0	0	0	0	0	0	2	1	0	4	0	0	0	0	2	2	0	2	0	51	0	2	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	4	1	3	11	1	0	38	9	7	0	0	0	4	0	1	0	0	0	1	4	0	0	0	0	0	0	0	1	4	0	8	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	24	6	0	1	0	1	3	0	0	0	0	0	7	1	5	0	1	2	5	1	1	0	0	23	4	38	18
67081	6	0	16	34	7	10	11	0	67	1	3	0	0	5	42	0	3	0	1	1	0	0	3	1	9	10	54	15	21	3	0	0	0	0	58	111	0	58	0	0	31	10	0	0	35	34	0	25	37	5	51	9	25	0	22	3	5	0	13	0	3	2	7	4	2	0	0	24	12	0	71	2	8	3	3	3	81	1	1	6	30	2	49	2	1	8	14	0	69	4	6	2	1	13	2	1	0	0	0	80	6	0	0	0	0	0	2	2	20	0	0	22	6	0	0	11	0	0	31	5	38	19
1968788	2	0	7	34	10	22	0	0	53	6	0	0	0	13	10	0	4	0	0	2	0	8	1	0	0	6	64	0	26	4	0	0	0	0	30	33	2	30	0	0	18	8	0	0	20	45	7	21	13	0	91	22	25	0	6	18	8	0	20	0	1	5	7	9	0	0	0	12	4	0	56	1	11	4	19	3	37	0	0	2	8	0	9	0	4	10	9	0	22	6	0	0	0	16	0	3	0	0	1	35	43	0	0	0	0	0	4	1	25	0	31	24	18	0	54	13	0	0	66	11	87	32
319707	1	0	1	4	1	4	1	0	0	3	0	0	0	1	4	0	2	0	0	1	0	24	1	0	0	0	42	2	2	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	10	1	5	23	0	18	0	14	0	0	0	4	2	3	0	1	14	3	8	1	0	0	0	3	1	0	0	21	0	3	0	4	0	0	4	0	1	2	1	2	0	3	0	3	0	1	0	0	2	2	0	0	0	0	2	2	0	0	0	0	3	8	2	3	6	8	1	9	395	0	4	0	0	5	6	16	8
258505	1	0	1	4	1	57	1	0	9	0	0	0	0	0	4	0	12	0	0	0	0	0	5	0	9	0	176	2	2	2	0	0	0	1	6	5	0	7	0	0	16	0	0	0	2	11	3	30	6	0	171	0	136	0	1	2	6	0	13	0	2	2	5	34	0	0	0	3	4	3	0	8	6	0	44	0	1	0	0	0	0	4	6	4	0	3	1	0	2	0	0	0	1	5	0	20	11	0	0	3	0	3	0	0	0	3	3	4	1	2	0	0	3	1	1	0	0	0	80	20	93	43
57704	410	3	1044	4296	1353	3359	1822	1	4422	440	48	24	0	1695	1875	0	166	21	146	200	0	1027	183	0	294	579	5184	1011	3484	327	136	68	0	0	5085	3814	27	3765	0	0	3397	1033	0	2	2816	4721	578	2873	2956	316	7226	7504	4931	0	719	1260	2709	178	3885	3	168	700	744	994	138	9	0	1230	840	83	4496	265	869	1122	2990	485	4466	15	28	928	1396	164	1732	894	522	1331	1353	0	3523	944	563	60	146	1705	177	1985	101	286	235	2834	10813	208	3	538	0	591	1810	1635	1547	1089	8059	1816	1107	6819	13952	2004	108	0	5743	1471	8023	3495
37329	148	1	485	1761	505	1770	902	0	1957	199	18	3	0	698	850	0	140	11	66	94	0	436	53	4	122	223	2979	431	1461	208	66	24	2	0	1926	1673	16	1654	2	0	1448	465	0	2	1215	1784	300	1630	1324	136	3763	2713	3063	0	301	505	1050	66	1711	0	104	277	296	562	51	4	0	486	312	60	2279	173	461	415	1931	225	2107	11	18	386	511	132	700	384	169	540	601	1	1558	444	260	24	49	713	60	1157	26	0	50	1178	4067	80	0	205	0	321	1135	835	692	462	4056	809	521	3519	6528	855	26	0	2842	763	4098	1606
2683591	15	0	6	74	12	113	50	0	70	19	5	0	0	23	36	0	2	0	4	1	0	5	5	0	21	5	243	19	31	15	2	3	0	0	64	76	0	54	0	0	48	26	0	0	50	68	4	179	21	8	442	77	291	0	20	50	12	0	87	0	19	12	26	66	2	0	0	26	18	6	104	14	46	2	118	18	107	0	0	6	11	9	29	34	6	31	10	0	67	20	6	3	4	24	1	20	0	0	8	52	28	0	0	0	0	7	11	11	6	8	5	28	3	9	51	35	0	0	255	59	376	133
2811421	9	0	35	84	21	58	60	0	98	11	1	0	0	20	26	0	10	0	6	4	0	14	3	0	5	9	213	20	61	17	1	5	0	0	100	72	0	71	0	0	64	15	0	0	47	66	13	116	26	2	210	52	152	0	14	30	26	1	33	0	6	9	14	32	6	0	0	24	11	2	121	15	25	10	86	9	107	0	0	27	12	7	24	29	11	25	32	0	72	22	3	1	1	27	2	0	0	0	6	52	135	7	0	35	0	7	18	22	22	8	60	25	2	45	150	30	1	0	230	50	288	118
2722825	4	0	4	49	6	45	5	0	15	9	1	0	0	5	30	0	3	0	0	1	0	12	1	0	5	3	122	23	40	12	1	1	0	0	19	10	0	34	0	0	28	5	0	0	16	21	4	76	21	2	101	25	55	0	4	12	9	2	30	0	3	2	3	25	0	0	0	20	0	1	62	1	21	9	62	4	34	1	0	1	4	5	18	13	2	10	8	0	37	20	2	0	5	24	4	1	0	0	0	31	68	0	0	2	0	5	18	14	27	10	110	17	6	85	74	18	0	0	93	18	113	42
2749906	9	4	14	65	19	64	37	0	54	3	0	0	0	45	22	0	15	0	0	0	0	21	12	0	11	0	308	29	64	8	0	0	0	0	34	52	2	69	0	0	45	28	0	0	42	34	25	208	56	5	364	30	194	0	3	28	16	0	63	0	8	9	14	57	1	0	0	12	8	0	31	13	56	5	160	13	162	0	2	2	0	12	32	29	2	16	8	0	62	13	11	0	9	47	3	9	11	0	2	80	58	3	0	9	0	7	8	30	54	35	77	26	19	114	229	35	0	0	278	64	448	155
334542	28	0	112	614	193	539	171	0	573	43	0	4	0	278	235	0	24	0	14	18	0	156	29	0	15	94	709	112	401	33	7	24	0	0	650	552	4	335	0	0	539	136	0	0	357	830	58	344	449	34	1065	1181	427	0	95	202	490	23	392	0	19	105	80	181	25	1	0	122	136	1	514	15	150	90	293	52	485	1	2	138	211	31	236	74	89	190	206	0	551	81	87	2	15	155	137	452	10	0	105	232	1879	47	0	154	0	183	879	566	138	229	1560	171	316	863	2050	244	67	0	913	197	1206	542
1833	1	0	2	44	28	80	2	0	32	9	0	9	0	11	32	0	11	0	2	0	0	11	1	0	3	6	118	19	20	4	0	0	0	0	51	36	0	31	0	0	19	2	0	0	28	57	4	37	59	0	124	83	92	0	20	24	27	4	44	0	0	17	0	23	4	0	0	4	1	12	31	0	14	11	20	16	42	0	0	14	12	2	9	2	2	6	1	0	31	0	8	0	6	1	0	4	0	0	1	14	90	0	0	6	0	22	12	43	14	10	98	13	24	82	113	19	0	0	97	25	178	68
37919	16	0	26	98	21	103	46	0	107	13	0	0	0	28	42	0	23	0	2	4	0	31	9	0	16	17	569	30	64	19	4	0	0	0	84	72	0	83	0	0	52	14	0	0	66	62	42	261	72	6	575	113	340	0	14	22	57	2	116	0	21	12	15	110	6	0	0	23	16	5	125	15	86	17	332	14	105	1	1	21	27	10	50	24	12	31	23	0	61	37	19	1	1	51	4	94	9	0	32	54	111	20	0	9	0	29	138	72	39	35	143	35	38	92	178	34	1	0	362	98	572	254
1829	6	0	12	43	8	46	20	0	65	4	1	0	0	4	23	0	9	0	3	2	0	14	6	0	7	4	169	15	45	3	2	1	1	0	57	46	0	55	0	0	43	11	0	0	26	38	16	93	20	1	140	64	86	0	5	11	11	0	31	0	2	2	4	28	1	0	0	18	9	0	78	1	21	7	33	9	51	1	0	5	21	1	22	10	7	9	31	0	38	14	4	0	2	10	2	22	4	0	0	31	79	1	0	5	0	4	4	11	24	23	31	20	8	30	58	22	0	0	88	17	130	51
99653	5	0	11	33	8	96	16	0	56	3	1	0	0	14	15	0	11	0	2	4	0	21	17	0	6	5	338	6	43	9	2	3	0	0	34	31	0	30	0	0	21	1	0	0	39	43	11	170	22	2	389	42	239	0	10	16	29	2	51	0	13	10	3	63	0	0	0	12	12	1	50	15	73	11	106	4	37	0	0	10	10	8	21	10	7	14	11	0	33	9	10	2	2	20	0	3	6	0	2	24	99	1	0	2	0	5	26	23	22	14	47	17	10	89	224	12	0	0	236	50	340	119
1830	10	0	39	37	16	72	16	0	65	0	0	0	0	27	25	0	15	0	0	4	0	8	15	0	17	5	406	55	71	6	0	0	0	0	59	76	0	221	0	0	80	19	0	0	47	46	0	201	105	0	450	10	183	0	11	12	5	0	50	0	8	8	35	111	0	0	0	38	0	5	101	33	58	25	93	0	190	0	0	0	30	3	39	23	5	31	24	0	83	8	0	0	0	75	0	0	0	0	0	321	117	0	0	1	0	8	12	7	124	37	60	183	7	27	43	136	0	0	298	58	402	212
132919	1	0	1	38	1	61	3	0	1	0	0	0	0	10	1	0	20	0	0	0	0	1	14	0	2	1	359	1	4	7	0	1	0	0	27	9	0	1	0	0	14	4	0	0	10	13	16	115	5	0	249	6	177	0	0	2	6	0	25	0	13	1	4	88	0	0	0	6	2	4	6	11	28	0	183	0	11	1	0	1	2	13	4	6	0	2	5	0	2	1	10	0	0	10	1	11	0	0	0	5	4	0	0	2	0	5	8	9	2	15	19	3	0	6	13	1	0	0	209	52	351	172
