"SRX3830154_oral"	"SRX4318863_oral"	"SRX024173_human_gut"	"SRX024148_human_gut"	"ERR584333_labcontam"	"SRX024023_human_gut"	"SRX3830174_oral"	"SRX024200_oral"	"SRX023994_human_gut"	"ERR584348_labcontam"	"SRX4318860_oral"	"ERR584320_labcontam"	"SRS727524_human_skin"	"SRS728264_human_skin"	"SRX740589_human_skin"	"SRX3830184_oral"	"SRX740562_human_skin"	"SRX025192_oral"	"SRX3830126_oral"	"SRX740632_human_skin"	"SRX025193_oral"	"SRX101411_oral"	"SRX3830225_oral"	"SRX4318858_oral"	"ERR584341_labcontam"	"SRR5823608_soil"	"SRR5823606_soil"	"SRR5823609_soil"	"SRR5823611_soil"	"Unknown"
"RDC_4_H31_NA"	2.33462431846327e-06	0.00399639617878678	8.9533628382781e-46	0	1.61177667787123e-05	0	0.351647344081955	9.71786931106086e-05	6.11225063908745e-29	6.30289512510123e-14	2.380812617654e-11	1.1850434051403e-17	9.14535246820611e-30	0.037037037037037	5.46726644345566e-13	0.17481652334207	5.3377556120102e-15	1.4488085105385e-07	5.75087151785756e-15	0.000626067852059871	1.24061550464376e-07	0.256586763000117	0.00323263211077751	1.14538832587189e-09	0.000757858935701923	0.0528274539157135	0.0174929723894184	0.0267889758858613	1.22200939538938e-16	0.0740740740740741
"RDC_2_H8_NA"	0.0739632674438841	5.72518497566123e-38	0.00763169812036345	0.0613570602883621	9.18889864085191e-33	7.46004212621859e-11	0.0959594685441601	1.08088105249916e-14	3.09000346492608e-38	0	0.0591973037757966	0	6.08163193466946e-06	3.21890936747113e-46	4.35662893111844e-56	5.4611603922546e-24	7.97764561455279e-21	0.136836574351762	0.224815895448947	0.117456529434081	5.74465741074828e-15	1.47784804552501e-24	0.0900080415440112	5.30565379489845e-30	0	5.17670240635379e-29	1.24948309210961e-54	6.74750968713508e-24	0.0586940052680064	0.0740740740740741
"RDC_6_H68_NA"	2.14258686618691e-06	7.91903849455023e-26	3.17835729119402e-37	0	0.132774058889804	0	0.0639535458009318	0.0940175610990836	0	4.7662196739304e-05	7.29027195125e-18	2.98359913799835e-06	1.0515967122345e-07	1.51824703944725e-23	0.0737102095274361	4.68178617238259e-10	0.0544497277122258	0.0200756182518157	8.50266062090867e-14	0.0414624942433087	0.00241058992824684	0.000477363490659227	0.200040256767033	1.95841788579842e-22	4.24164939102694e-20	0.0353177063247978	0.127323389094723	6.6224508217234e-18	8.84310131024638e-05	0.153846153846154
"RDC_2_H6_NA"	4.62243457099156e-06	0.000871264019016632	3.25393363176861e-24	0	0	9.2000369296205e-27	1.25769214140043e-40	0.0226776799939353	7.87226277174866e-25	1.80145992649298e-08	3.31453880417407e-17	2.11135883992615e-15	4.90254435057459e-08	9.51656690436804e-20	0.0614081078578447	6.4673631490792e-06	1.26336933256574e-24	0.33254487588075	0	4.63988470974973e-07	3.58343157385684e-05	0.170362002013354	1.16845582660059e-08	0.0342157245780501	2.73117576723685e-28	3.31371353506703e-11	0.189446131443486	0.00294218161557754	0.0373364175901676	0.148148148148148
"RDC_2_H11_NA"	5.69910023765586e-07	0.0909304990362835	0.000635617938216043	0.0171148190935619	6.5276433186336e-14	9.87104803157191e-09	8.48560835620778e-06	0.00417398575184344	4.878151626616e-10	1.95178340646543e-10	0.000434490072674217	2.24410772083129e-07	0	2.27083834325218e-23	4.72460722227367e-09	8.96206052072491e-08	0	0.265596068402704	1.66252630196261e-18	0.075348828252103	0.338930381560981	0.0125365214084927	0.0481887378584769	0.00375684473920783	0.00449886531015315	5.94259545392419e-06	0.102588174542489	0.0342898205442935	0.00096101806459403	0
"RDC_5_H57_NA"	1.39091939611618e-06	2.58572092958672e-17	1.40167701985302e-21	1.01203444774727e-20	1.71375813004925e-08	3.38174849110974e-08	0.122543049787689	4.80124498002383e-22	4.42659454876002e-21	7.22622288195157e-19	1.38314049069501e-07	7.55242545912293e-13	1.11094558070885e-15	1.08602449239138e-44	2.97475301907196e-13	5.93566178337889e-09	1.32369116568431e-07	2.75162602295133e-13	0.0771864410214859	2.94775296365599e-14	1.02348824521145e-08	0.0480890440466123	0.12735612595592	1.32662048249223e-19	4.2764829514708e-29	0.241574109077925	3.70019527760716e-06	0.156812030939507	0.0782856220979037	0.148148148148148
"RDC_2_H3_NA"	2.01306620288535e-06	0.082307356898893	4.07074724234509e-34	2.37047134113609e-17	0.00946750497697208	5.26502210397935e-12	1.2506748919955e-07	1.76096783542193e-08	0.0384615384581072	0.0877515481880935	3.65062533245736e-44	4.08163955907642e-06	5.9374080033135e-05	1.06113238910523e-35	0.0624831662193044	2.34897706105377e-07	8.16942346977106e-09	1.1076101551478e-09	0.00157208658631323	0.00125526438431696	1.24858228491127e-06	0.183108449216174	0.0300094414221166	2.57463745334412e-29	0.062272735568879	0.218479861750916	0.0689031398363951	1.46484221123332e-05	2.72331942770795e-17	0.153846153846154
"RDC_5_H48_NA"	0.223649494084359	1.15953137520101e-101	1.69411541947366e-59	1.11656110025564e-121	6.54931741204248e-247	9.69190219820042e-223	5.38406919604596e-47	0.0234357012606175	1.9812110980071e-163	1.51934871509958e-59	4.04909567616635e-153	5.31922044763117e-223	4.32686207465257e-137	4.80994484571132e-162	4.60174447835631e-35	0.220410318882762	1.14795207928292e-123	0.292608444423561	1.71371471378349e-107	2.68513346464022e-26	2.54899778530601e-32	5.4122372102246e-14	2.72502334748915e-06	9.01018589341049e-100	0.04	0.0659112172925682	0	0.0939820990327296	2.18197442749225e-36	0.04
"RDC_6_H71_NA"	7.93875271162666e-06	0.0578305981010922	0	0	0	1.49535804874181e-115	0.0273821849513026	1.19717361470467e-21	0	4.54662020268737e-31	7.28658550344161e-58	0	1.25892199314718e-16	0	7.43730021843471e-84	7.35175786429118e-44	0.0598254785856627	0.0990619103764713	0.358635414787862	3.35381981614606e-32	0.143560438417279	6.18735712966807e-19	3.62719275122626e-11	3.37859151132622e-17	4.76592802106206e-06	0.179616030510592	3.9338854067243e-19	1.16547865973213e-06	3.23365789985364e-22	0.0740740740740741
"RDC_5_H43_NA"	0.0583443084034909	0	0	3.73413497200911e-228	0.0472640041355601	0.08	0.164690317675316	0.0497489649821228	0	0	0.173955322303398	6.12071913048599e-252	4.65059529722696e-146	0	1.86800149694698e-226	0.182795094980352	1.62013711686372e-164	4.17583170769264e-17	0	2.52712718921008e-289	9.50831907926034e-69	0.00154259852884408	2.20701305537363e-55	1.14472423290221e-227	0	0	0.121578306433662	8.84492033531104e-40	8.10825572538633e-05	0.12
