"SRX3830154_human_calculus"	"SRX4318863_human_caries"	"SRX024173_human_gut"	"SRX024148_human_gut"	"ERR584333_labcontam"	"SRX024023_human_gut"	"SRX3830174_human_calculus"	"SRX024200_human_plaque"	"SRX023994_human_gut"	"ERR584348_labcontam"	"SRX4318860_human_caries"	"ERR584320_labcontam"	"SRS727524_human_skin"	"SRS728264_human_skin"	"SRX740589_human_skin"	"SRX3830184_human_calculus"	"SRX740562_human_skin"	"SRX025192_human_plaque"	"SRX3830126_human_calculus"	"SRX740632_human_skin"	"SRX025193_human_plaque"	"SRX101411_human_plaque"	"SRX3830225_human_calculus"	"SRX4318858_human_caries"	"ERR584341_labcontam"	"SRR5823608_soil"	"SRR5823606_soil"	"SRR5823609_soil"	"SRR5823611_soil"	"Unknown"
"RDC_4_H31_NA"	0.0720865660969216	2.00445587763844e-21	1.77127032699852e-50	2.72376501975165e-102	0.098014405447832	0	1.65818060289454e-21	1.21205122856802e-05	0	3.04987417303816e-24	8.13315559389216e-12	0.0088143565016046	3.96624246142503e-30	0	5.06037519236855e-09	1.4587657722784e-18	3.06129443935708e-10	1.36769507741195e-08	2.02082186754684e-36	0.297023297936587	0.0066950918640431	0.132670171962565	0.140493033024555	4.62159592658064e-33	7.92132149556057e-22	0.122355125007875	0.083374270080467	2.02001989736464e-16	4.05213640856886e-09	0.0384615384615385
"RDC_2_H8_NA"	0.077422505016026	8.86232146285023e-13	8.73149327923e-80	0	0.0769230769230769	1.04066990277623e-176	0.0118823657981454	1.3310996964345e-55	0	2.7196133326655e-07	4.0799512360976e-37	1.08865891554746e-104	3.46517901561413e-13	0	2.87077025158699e-07	0.311909716178789	1.84058202241072e-76	3.60505875608026e-16	0.260520719484264	0.0840927815268364	2.40095148692041e-38	3.34437558398317e-70	1.92371283911225e-25	0.100325197040149	5.73618280860697e-71	2.07004448865441e-09	6.50148788560567e-64	5.63606135872522e-74	1.66063583872097e-63	0.0769230769230769
"RDC_6_H68_NA"	0.0879801437525245	2.12197468859389e-47	3.12731006474411e-05	0	0.0685393714575399	0	7.1085486172313e-34	6.30517181791417e-14	0	3.15848350800965e-91	9.74411325946592e-61	2.83695822095913e-32	8.31635603306783e-79	4.69828159464754e-81	1.79450275096802e-53	0.132696278357153	1.44795823603306e-34	9.98944651635503e-26	2.38109552243898e-59	0.160975613347849	0.303923548513276	9.39550127021918e-20	1.94329831791409e-25	9.11884465192645e-58	5.79734272879712e-27	2.58813181824172e-53	0.0410350318652515	0.122123857940168	0.00269488166552751	0.08
"RDC_2_H6_NA"	9.37847846072982e-07	0.00274714380351583	0	0	0.0102607476155344	8.2072933128844e-19	0.000186450210372341	0.333415849461205	2.0029605690943e-15	0.0727963347488324	0.0550536919253893	0.000119517511366026	3.90946373355924e-09	9.71444483925912e-06	5.6209973375945e-11	0.00746532791743056	3.10444527625867e-29	5.80287515063773e-09	5.94450624640044e-05	9.77217176968192e-12	0.00231869659895731	0.000856613185619384	0.00209190732287645	0.0624333627370026	0.00895859866767739	0.071034929955988	0.158279911587129	5.32855504749147e-06	0.000161450272535384	0.21174403079005
"RDC_2_H11_NA"	1.78542996203578e-06	4.17491339533497e-07	1.0811051889511e-24	0	2.03519179083981e-20	0	0.000310421121565479	0.382806605812848	0	3.47967831013835e-14	3.29467606759238e-17	1.06109346312699e-20	0	5.69168459065503e-18	2.21020836239955e-12	9.60632023856703e-06	8.72420529949334e-09	0.157282661397014	0.000133205433809067	3.32889417521593e-11	0.219982304224664	0.000139818845265091	0.00034052787199464	5.8317320418876e-05	4.45163717080281e-07	0.127278906424862	3.89625048427177e-09	0.000543849829951346	3.54524928639737e-09	0.111111111111111
"RDC_5_H57_NA"	0.252333805179378	0.0572328482768962	1.23234824777639e-42	0	1.5102226398298e-06	0	0.203418358549425	7.93636854444121e-37	0.024243410282321	1.16197404130993e-28	3.13690925733783e-17	7.17756316447475e-29	6.23916378196047e-30	3.16988990443322e-34	2.30410487981575e-27	5.68261605649951e-15	5.74027144213042e-10	1.02368576087958e-30	0.0660017808749359	0	2.20994957996471e-47	1.45570066384714e-30	2.01364222070879e-14	4.15132807206155e-45	4.82643948226366e-15	3.18954115840141e-28	0.113200878113195	0.120733161992231	0.0914056745063496	0.0714285714285714
"RDC_2_H3_NA"	4.56782866691217e-06	3.44312069173411e-32	0.0416663553266461	0	0.0416666666666667	1.23216000073408e-21	0.206524580626556	2.28114477006857e-23	0	4.97443344027245e-24	6.69314086406787e-42	5.48526607092398e-48	4.2595453353968e-14	1.2758345342124e-37	5.06609914295719e-75	0.000356060118501031	1.92980115813122e-05	1.08629528567664e-56	0.0614665798072988	0.0416666666666667	0.0539803025464714	1.7953930604899e-12	8.67121909851238e-07	5.49977816263078e-07	0	0.191734427704917	0.120341022512464	0.0148700199483491	0.142368701800318	0.0833333333333333
"RDC_5_H48_NA"	3.30261415186109e-07	0.011768215767056	3.76837352152185e-11	2.46845621885909e-13	1.1051523238657e-05	0	0.00131577720438266	0.173140734084361	1.92361574565248e-13	0.0715143750143329	0.0417556394675849	1.39748850231572e-08	5.63564381433752e-12	4.72720320062027e-10	6.64235852586647e-09	0.210873156095266	9.83307388428233e-09	0.0143360023814647	0.000114477282002523	0.0099619996064745	0.127846544700423	0.173147063976702	0.0995836540297957	0.00372892193734162	3.96058431780617e-09	6.85098891787367e-06	5.90656004993249e-08	0.0544797455359214	0.00641536615033746	0
"RDC_6_H71_NA"	0.212429625761686	0.0769869065977472	6.79034323918889e-31	3.63470885128467e-38	0	0.0412816932578567	2.27263673189508e-26	1.23543942407056e-11	0	0.00127069404451761	0.0769869065977472	0.0390973943833114	1.25757747317552e-21	1.2203373477495e-25	8.70022973077948e-08	0.29611317392717	9.81643505275482e-30	0.000427744306216352	0.111383382991375	1.26590410487157e-05	5.13216902893456e-10	7.79315509660797e-08	1.74714988513708e-05	3.45242128835086e-09	2.21278689856997e-22	3.57631390234583e-16	5.98597697054808e-28	0.0725636072289005	2.31586623197635e-11	0.0714285714285714
"RDC_5_H43_NA"	1.91869805370872e-06	2.65777870538325e-10	3.14190689351692e-31	0	0.0376584868882552	3.64029163853974e-30	0.110793152630986	0.0384607053417219	0	0.250364256751003	4.05088732807879e-36	8.74181748243794e-07	3.72331985865644e-16	0.0580775811669213	0.000167431495806475	1.07996420342607e-11	1.32161425496319e-05	7.48398866275934e-07	0.117332986064241	2.44910750146879e-26	5.498266416923e-18	3.69343291082444e-07	6.99247740868024e-13	2.41847571406915e-08	1.3881275522316e-15	1.93456861352522e-11	0.193786791334013	5.04394488097731e-43	0.00103386273290865	0.192307594348253
"RDC_3_H15_NA"	0.121803954210681	2.2882512139361e-221	0	0	0.0481595211343286	0	0.334497612352751	2.39022356642327e-112	0	6.79902163620055e-190	7.56784135912709e-117	1.58061361665058e-208	2.02371320412688e-289	0	1.75054493874066e-185	0.0175117228581033	1.21955500595402e-118	1.73374125030629e-31	0.260433676685303	5.98600765814788e-83	6.40886595823297e-128	0.000145791495603432	0.0918571635681435	1.91580358189412e-178	0.0184308542368698	3.08225398913073e-147	5.31352473025651e-102	2.47751604156037e-187	1.68463153598984e-05	0.107142857142857
