RDC_4_H31	RDC_2_H8	RDC_6_H68	RDC_2_H6	RDC_2_H11	RDC_5_H57	RDC_2_H3	RDC_5_H48	RDC_6_H71	RDC_5_H43	RDC_3_H15	RDC_5_H46	RDC_4_H30	RDC_4_H40	RDC_3_H23	RDC_3_H22	RDC_3_H14	RDC_5_H55	RDC_6_H62	RDC_5_H52	RDC_4_H29	RDC_4_H33	RDC_4_H32	RDC_6_H65	RDC_2_H5	RDC_4_H41	RDC_5_H58	RDC_4_H38	RDC_4_H28	RDC_5_H44	RDC_4_H26	RDC_5_H54	RDC_6_H66	RDC_3_H13	RDC_4_H37	RDC_1_H1	RDC_2_H4	RDC_5_H49	RDC_2_H7	RDC_3_H16	RDC_6_H69	RDC_6_H63	RDC_5_H56	RDC_6_H64	RDC_1_H2	RDC_5_H53	RDC_5_H50	RDC_3_H18	RDC_6_H70	RDC_5_H61	RDC_3_H12	RDC_5_H51	RDC_4_H35	RDC_6_H72	RDC_4_H25	RDC_3_H17	RDC_5_H59	RDC_3_H20	RDC_5_H47	RDC_5_H45	RDC_4_H27	RDC_2_H9	RDC_3_H19	RDC_5_H60	RDC_4_H34	RDC_4_H36	SRX3830154	SRX4318863	SRX024173	SRX024148	ERR584333	SRX024023	SRX3830174	SRX024200	SRX023994	ERR584348	SRX4318860	ERR584320	SRS727524	SRS728264	SRX740589	SRX3830184	SRX740562	SRX025192	SRX3830126	SRX740632	SRX025193	SRX101411	SRX3830225	SRX4318858	ERR584341	SRR5823608	SRR5823606	SRR5823609	SRR5823611
1767	204	618	2586	789	2695	1246	2960	278	36	969	1077	12	77	141	671	9	306	365	642	2008	347	82	38	3095	2466	33	2341	2	619	1780	2873	594	2634	1810	169	4349	442	828	1495	118	2491	399	427	99	6	744	444	70	3286	661	327	2830	9	20	516	776	1104	566	296	827	834	2248	591	489	44	94	1093	140	2106	73	818	262	1850	7714	279	35	324	28	494	1381	1415	1041	662	6436	1203	847	5237	10433	1371	48	0	7191	1989	10371	4532
1764	6	28	109	41	53	32	12	0	0	53	29	0	0	0	0	0	6	20	17	82	0	0	0	21	0	0	40	0	0	53	37	4	16	175	0	244	5	18	144	0	106	0	32	0	0	6	38	0	0	12	6	68	0	0	35	0	0	11	6	7	25	57	11	0	0	5	25	0	0	7	0	32	46	139	0	0	0	0	7	8	45	49	17	105	37	22	394	89	21	5	0	156	56	270	94
169765	110	234	1306	405	1268	491	1242	112	14	435	498	8	37	44	328	1	166	218	306	908	215	43	24	1460	1107	12	988	1	279	839	1291	285	1293	912	77	1775	227	414	731	49	1084	189	223	57	2	315	213	35	1290	256	136	1311	1	8	263	302	446	282	148	377	375	960	247	151	16	42	474	38	1231	11	0	41	669	2956	51	0	102	0	176	584	452	392	247	2360	485	313	2151	4039	513	19	0	3667	971	5146	2292
117567	20	36	104	24	86	61	125	13	0	25	44	0	0	4	0	0	10	16	20	75	6	0	4	200	150	0	140	0	16	38	107	34	50	86	0	53	21	55	0	0	0	9	14	0	0	16	37	0	82	27	7	120	0	0	19	31	29	35	14	42	35	119	37	0	0	11	48	2	27	0	0	0	70	252	0	0	9	0	7	54	23	30	11	37	35	20	13	206	35	0	0	176	28	255	115
482462	18	50	282	43	122	50	152	14	3	52	42	0	6	0	33	0	19	42	25	86	13	0	0	193	146	0	168	0	25	86	137	4	84	43	23	140	25	76	53	0	0	7	21	8	0	48	7	0	86	22	22	171	3	0	32	54	56	0	9	0	44	82	39	17	0	0	98	0	55	50	0	52	57	157	42	0	4	0	7	7	39	100	16	87	39	14	12	160	95	0	0	287	62	475	211
1547487	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	4	0	1	2	0	3	1	0	0	34	5	16	15
67081	6	16	34	0	0	11	67	0	3	0	42	0	1	0	0	1	9	10	15	21	3	0	0	58	111	0	58	0	10	35	34	0	25	37	5	0	22	0	0	0	0	0	7	2	0	24	12	0	71	0	3	81	1	1	6	30	49	0	0	8	14	69	0	6	2	0	13	2	1	0	0	0	80	6	0	0	0	0	0	2	2	20	0	0	22	6	0	0	11	0	0	31	5	38	19
1968788	2	7	34	10	0	0	53	6	0	13	10	0	0	2	0	0	0	6	0	26	4	0	0	30	33	2	30	0	8	20	45	7	21	0	0	0	6	18	0	0	0	5	7	0	0	12	0	0	56	4	3	37	0	0	0	8	9	0	0	10	9	22	6	0	0	0	16	0	3	0	0	1	35	43	0	0	0	0	0	4	1	25	0	31	24	18	0	54	13	0	0	66	11	87	32
319707	1	0	0	0	0	0	0	3	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	2	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	3	8	2	3	6	8	1	9	395	0	4	0	0	5	6	16	8
258505	1	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	30	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	20	11	0	0	3	0	3	0	0	0	3	3	4	1	2	0	0	3	1	1	0	0	0	80	20	93	43
