taxon,lfc_.Intercept.,lfc_Isola.Sacra,lfc_Selvicciola,se_.Intercept.,se_Isola.Sacra,se_Selvicciola,W_.Intercept.,W_Isola.Sacra,W_Selvicciola,p_.Intercept.,p_Isola.Sacra,p_Selvicciola,q_.Intercept.,q_Isola.Sacra,q_Selvicciola,diff_.Intercept.,diff_Isola.Sacra,diff_Selvicciola,passed_ss_.Intercept.,passed_ss_Isola.Sacra,passed_ss_Selvicciola
GO:0000027: [BP] ribosomal large subunit assembly,0.101168107376998,-0.0865272832598928,0.0518773379043886,0.0698183360971164,0.105393771784503,0.178866726855117,1.44901916935222,-0.820990479748782,0.290033472499385,0.153834214679074,0.415710642262526,0.773039918332321,0.246857252518279,0.750843010253901,0.992758539174016,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
GO:0000041: [BP] transition metal ion transport,-0.530481137771341,0.567898963317335,-0.008277988376067,0.174928887357743,0.276515056025599,0.4013744113902,-3.0325530893389,2.05377230260026,-0.0206241059249277,0.0044777831189795,0.0473155511815394,0.983659399840998,0.0197407642879742,0.287068777672606,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0000050: [BP] urea cycle,-0.691551782884186,0.674715641183853,0.779786744285862,0.145733601192866,0.252644623377182,0.477183083360819,-4.74531458238637,2.67061151812657,1.6341458267837,9.77871680490355e-05,0.0139685141000321,0.116458379556208,0.00174496079452595,0.15478623732468,0.700498392002119,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0000103: [BP] sulfate assimilation,-0.434758901119547,0.492442918600669,0.526845742838685,0.127356649171062,0.208395727505399,0.299448849385921,-3.41371183954117,2.36301830414402,1.75938476277029,0.00148046184015837,0.0230762844218013,0.0861595371616232,0.00905954260395421,0.19545940057944,0.613823552879304,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0000105: [BP] histidine biosynthetic process,0.107085971576032,0.0367577525013817,-0.166053775369586,0.0441062229575941,0.0770296480606083,0.1596368211243,2.42791072087469,0.477189672117677,-1.04019720638442,0.0189047465211112,0.635348625336418,0.303353848540529,0.0527401009652043,0.869759386938001,0.911172731879977,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
GO:0000160: [BP] phosphorelay signal transduction system,0.0822331993782138,0.0491701860660032,0.032835374377532,0.0480380670436726,0.0953508667008862,0.174734682970063,1.71183406075547,0.51567634115219,0.187915609078923,0.0932505520441261,0.608399521249184,0.851718848431769,0.173391049152343,0.856007298495928,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0000162: [BP] tryptophan biosynthetic process,0.135325339524985,0.0327522683486189,-0.440516878105434,0.0631626991976441,0.0956847860312157,0.498904711022134,2.14248822871762,0.342293375019242,-0.882967966373625,0.0371484666177698,0.733594032359246,0.381565082453957,0.0867855915286929,0.919796798982541,0.920022257669639,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
GO:0000256: [BP] allantoin catabolic process,-0.590099723700363,0.310821064561501,0.736324290953095,0.163869064671451,0.226649892918301,0.453910219938542,-3.60104407066387,1.37137088643382,1.62218046346873,0.00178401014889453,0.185450938119264,0.120423473601568,0.0105243764179389,0.531281265833789,0.700498392002119,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0000270: [BP] peptidoglycan metabolic process,-0.0507194481457162,0.0355776019708114,-0.750214134013566,0.0944144499480066,0.140991554698331,0.476872511578692,-0.537200059669331,0.252338532239992,-1.57319643258525,0.593898575603099,0.80198171774047,0.123003303984326,0.697143229416276,0.938124120609394,0.707320738696425,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GO:0000271: [BP] polysaccharide biosynthetic process,0.177340320784486,-0.0824212834068959,-0.32463963477778,0.0504577009928677,0.118435111676572,0.2122414230038,3.51463339182959,-0.695919328652941,-1.52957716822304,0.00095834758544565,0.489767163171183,0.132552099930027,0.00711828599318963,0.784392722266348,0.729481355319609,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0000272: [BP] polysaccharide catabolic process,-0.563048642321663,0.362701072544016,1.19426995555774,0.136721335652811,0.213017990010536,0.656855676384328,-4.11822075635264,1.70267812838754,1.81816188623294,0.000240245570754443,0.0980313701713706,0.0781269709871175,0.00285509229012526,0.395988785913911,0.598730058032115,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0000302: [BP] response to reactive oxygen species,0.179418204504537,-0.546384904345032,-0.853504972403672,0.120840752264528,0.208162931491646,0.338719785413048,1.48474915243642,-2.62479443592463,-2.51979662588317,0.144904778266106,0.0119562886053758,0.0155372120609786,0.23575777416311,0.151009373020775,0.276967693260922,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GO:0000398: [BP] mRNA splicing, via spliceosome,-0.636265272658053,0.918912183033597,0.897699234064467,0.154564028138606,0.255552201782641,0.481837986546665,-4.11651585637687,3.5957905141243,1.86307277368952,0.000915109124714417,0.00264842527449877,0.0821511820002225,0.00697429433077802,0.0604136100125308,0.606684196753237,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0000453: [BP] enzyme-directed rRNA 2-O-methylation,0.108494668535888,0.0242929102924425,-0.321154775079372,0.0620401548281597,0.0959741830575851,0.243207093116281,1.74878139547522,0.253119219341171,-1.32049921309583,0.0867216280445811,0.801257037530304,0.192930325335232,0.164610497677214,0.938124120609394,0.813237953887506,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
GO:0000716: [BP] transcription-coupled nucleotide-excision repair, DNA damage recognition,0.0922853036581584,0.0299386991367018,0.0206046271267607,0.0562713202680476,0.100845195015492,0.169179105184574,1.64000601405047,0.296877795041226,0.121791796358546,0.10740898783314,0.767814663112589,0.903562023347906,0.191468195702554,0.930704974031171,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0000723: [BP] telomere maintenance,0.189044670598617,-0.564928091873014,-0.71861088619279,0.117718984084516,0.206687889551741,0.385981708466356,1.60589791076427,-2.73324234476541,-1.86177445829775,0.115789954847348,0.00913858177090671,0.0696420558440378,0.202447255809862,0.129641964995513,0.576833189819303,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0000724: [BP] double-strand break repair via homologous recombination,-0.0326786194754109,-0.139058011201803,-0.34919423906461,0.094565771223933,0.192638543270216,0.398719442372428,-0.345564986701452,-0.721859752680671,-0.875789344474557,0.73135458038444,0.474288036149682,0.386010749631526,0.810419940426001,0.780106490954042,0.920850880250643,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GO:0000725: [BP] recombinational repair,0.160847390114761,-0.29859249795391,-0.102058160119159,0.0552569690458932,0.120711522173982,0.237117290353483,2.91089780876636,-2.47360394912051,-0.430412138933504,0.00549406214530279,0.017045299303804,0.668863187710797,0.0220899064679878,0.174714317863991,0.984511911500743,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
GO:0000737: [BP] DNA catabolic process, endonucleolytic,-0.677243924721381,0.985416720214463,-0.330587797365041,0.171884282013504,0.26582030589178,0.487666870768826,-3.94011550554794,3.70707842242739,-0.67789677171192,0.00130962586340332,0.00210830196192235,0.508159885898583,0.00852296196818037,0.0523881093568583,0.96618894552369,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
