"GO Term ID","Function","RDC_1_H1","RDC_2_H11","RDC_2_H3","RDC_2_H4","RDC_2_H5","RDC_2_H6","RDC_2_H7","RDC_2_H8","RDC_2_H9","RDC_3_H12","RDC_3_H13","RDC_3_H14","RDC_3_H15","RDC_3_H16","RDC_3_H17","RDC_3_H18","RDC_3_H19","RDC_3_H20","RDC_3_H23","RDC_4_H25","RDC_4_H26","RDC_4_H27","RDC_4_H28","RDC_4_H29","RDC_4_H31","RDC_4_H33","RDC_4_H36","RDC_4_H37","RDC_4_H40","RDC_5_H43","RDC_5_H44","RDC_5_H45","RDC_5_H47","RDC_5_H48","RDC_5_H49","RDC_5_H50","RDC_5_H51","RDC_5_H52","RDC_5_H53","RDC_5_H54","RDC_5_H55","RDC_5_H56","RDC_5_H57","RDC_5_H58","RDC_5_H59","RDC_5_H60","RDC_5_H61","RDC_6_H62","RDC_6_H63","RDC_6_H64","RDC_6_H65","RDC_6_H66","RDC_6_H68","RDC_6_H69","RDC_6_H70","RDC_6_H71"
"GO:0000027","ribosomal large subunit assembly",102.062,63.8999,81.0267,39.9543,67.9759,60.6517,59.7017,15.9107,62.5484,40.9994,42.0898,1.85647,31.9894,1.36209,42.6261,4.10663,30.6282,16.064,52.0245,47.7788,54.814,34.2272,51.1662,3.30513,3.88079,1.76943,9.03731,4.85561,21.3285,48.6645,59.039,22.9897,27.9086,20.0313,46.3223,45.4928,58.8086,48.8121,18.3575,10.6327,10.844,34.0958,30.2594,46.7099,28.5378,65.6272,33.1081,30.4437,36.4804,9.51802,74.5497,26.7775,83.256,117.308,77.3945,0
"GO:0000028","ribosomal small subunit assembly",0.116598,0.88731,0.235655,0,0.134774,0,0,0,0,0,0,0,0,0,0,1.32131,0,0,0,0,0,0,0,0,0,0,0,0,3.72372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25669,0.876837,0.0501325,2.29913,1.44456,0
"GO:0000041","transition metal ion transport",1.06244,4.06548,4.83282,1.82742,3.70751,1.49598,4.36501,16.0934,3.29781,1.9894,4.66946,0,7.48963,0,2.65766,0,28.8157,0.392701,6.23111,3.799,1.99088,16.9528,0.600737,0,0,0,0,0,2.61806,6.64372,3.0148,0.789434,0,0,1.79142,2.13159,1.73128,2.71468,0.723237,0,4.48975,3.63567,0.349929,7.53128,2.56244,1.56477,3.67326,8.91637,0,0,3.19065,0,1.99198,19.164,35.4701,0
"GO:0000050","urea cycle",0.85035,5.24576,0.298605,0,1.3715,2.81128,4.44825,0,1.79132,0,0.655657,0,0,0,0,2.57971,0,0,9.76794,0,1.55455,0,1.62763,0,0,0,0,0,0,0.473952,0.49122,0.960044,0,0,0.965889,1.38564,0.455801,0.457869,0,0,0,0,0,0.466864,0.413817,0,0.894519,0,3.14576,0,0.554377,0,1.90257,20.499,0,0
"GO:0000103","sulfate assimilation",0.810813,8.88999,6.00548,3.40772,3.66653,5.89913,7.26507,0,6.59749,2.94159,3.79232,0,2.25296,0,1.29579,2.88009,1.67233,0,9.91773,2.49473,1.67488,1.83384,5.48717,0,0,0,3.65816,0.876078,0,5.65794,2.81368,1.39163,3.80151,1.27841,2.67718,1.24618,3.08982,1.45941,1.73633,0,0.552588,5.10496,1.12124,5.51977,1.1875,3.23786,3.90806,0.703977,1.77558,3.1165,3.30433,14.5486,4.23618,27.6885,6.973,0
"GO:0000105","histidine biosynthetic process",371.479,269.506,317.112,256.812,258.95,257.015,266.284,191.587,336.658,291.958,235.302,16.5099,271.989,17.3828,157.608,28.1747,278.341,67.441,295.117,264.199,229.725,267.574,324.363,21.2526,32.4153,16.3306,48.7605,20.7934,155.011,180.477,318.766,123.842,168.261,110.133,169.002,283.059,311.15,258.991,142.278,50.4384,100.902,170.987,246.579,238.4,141.831,133.552,207.341,166.716,192.05,148.648,414.19,77.1156,369.1,553.423,456.155,17.476
"GO:0000122","negative regulation of transcription from RNA polymerase II promoter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338121,0,0
"GO:0000160","phosphorelay signal transduction system",1079.94,682.16,1151.75,587.611,697.14,623.849,606.351,403.345,815.371,661.666,588.365,40.0647,700.321,37.962,452.814,45.8217,636.626,294.903,530.304,628.922,553.391,626.573,691.269,47.9296,107.839,36.881,88.5041,77.1536,317.019,575.016,860.679,312.024,335.505,298.457,531.131,518.719,934.287,754.338,436.566,149.746,204.606,449.943,769.992,828.659,421.477,525.569,574.774,434.837,389.19,270.911,1027.45,379.053,1006.27,973.091,973.262,35.4531
"GO:0000162","tryptophan biosynthetic process",66.1185,97.4326,84.782,85.5225,62.9604,82.4363,88.5945,46.4998,118.92,94.2122,75.2599,3.93452,86.4142,4.85767,42.9752,9.80546,74.9867,23.3356,99.8568,79.9111,62.5593,60.938,95.6685,6.864,8.73516,4.11607,17.4278,3.70083,45.5552,41.7118,91.2498,42.3975,35.963,35.5099,48.0393,101.577,94.5944,78.4267,41.0905,15.9861,30.8697,49.7565,79.8163,66.6904,35.7145,5.5972,70.6298,46.3971,67.5439,45.8555,149.003,14.8102,135.298,167.735,88.3857,7.32343
"GO:0000183","chromatin silencing at rDNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO:0000256","allantoin catabolic process",5.92575,2.92862,0.446564,0,0.391767,3.42248,2.61078,0,2.07345,0,2.31403,0,0,0,0,0,0,0,3.86957,1.91716,1.93631,0,0.797027,0,0,0,0,0,0,0.256716,0,1.04948,0,0,0.363383,1.01371,0.708728,0.670831,0,0,0,0.418932,0,0,1.11646,0,0,0,1.72437,0,1.21937,0,2.56569,6.25252,0,0
