,phylum,class,order,family,genus,species
1,NA,NA,NA,NA,NA,NA
131567,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
1783272,NA,NA,NA,NA,NA,NA
201174,Actinomycetota,NA,NA,NA,NA,NA
1760,Actinomycetota,Actinomycetes,NA,NA,NA,NA
85007,Actinomycetota,Actinomycetes,Mycobacteriales,NA,NA,NA
1762,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,NA,NA
1763,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
120793,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
1767,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium intracellulare
1764,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium
169765,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium lacus
77643,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
1773,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis
117567,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium frederiksbergense
482462,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium dioxanotrophicus
1389713,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium paragordonae
2642494,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
1547487,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. ELW1
39689,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium gallinarum
1866885,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,NA
67081,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium alvei
2636767,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,NA
1968788,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium sp. CBMA 213
319707,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium aubagnense
258505,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium fluoranthenivorans
85028,Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,NA,NA
2060,Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,Tsukamurella,NA
57704,Actinomycetota,Actinomycetes,Mycobacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella tyrosinosolvens
85025,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,NA,NA
1817,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,NA
37329,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,Nocardia farcinica
1827,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,NA
192944,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,NA
2683591,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. 21391
2811421,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus pseudokoreensis
2722825,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. DMU1
2749906,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. ZPP
2840174,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,NA
334542,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus qingshengii
1833,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis
37919,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus opacus
1829,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus rhodochrous
99653,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus koreensis
1830,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus ruber
132919,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus jostii
103816,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus pyridinivorans
43767,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Prescottella,Prescottella equi
1653,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,NA,NA
1716,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,NA
2624378,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,NA
699041,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium hindlerae
85026,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,NA,NA
2053,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,NA
84595,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia polyisoprenivorans
85011,Actinomycetota,Actinomycetes,Kitasatosporales,NA,NA,NA
2062,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,NA,NA
1883,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
2593676,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
1495638,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. M56
1972846,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. Sge12
1849967,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. SAT1
2136401,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. YIM 121038
2305220,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. W1SF4
2662065,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. SYP-A7193
1964449,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3211
2109593,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. SGAir0924
1262452,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. 769
