"","OTU","Blank","Abundance","Extraction.Batch","Library.Preparation.Batch.x","species","genus","phylum","rank_in_blank","in.homd","in.core.hominid","in.contam.list","Sample","rank_in_sample","Library.Preparation.Batch.y"
"1","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H26",1,4
"2","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H28",1,4
"3","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H25",1,4
"4","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H27",1,4
"5","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H40",1,4
"6","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H36",1,4
"7","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H30",1,4
"8","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H31",1,4
"9","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H33",1,4
"10","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H37",2,4
"11","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H41",1,4
"12","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H29",6,4
"13","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H34",1,4
"14","1302","RDC_4_EB7",8,"4",4,"Streptococcus gordonii","Streptococcus","Bacillota",1,TRUE,TRUE,TRUE,"RDC_4_H32",1,4
